_RAJ2000,_DEJ2000,ADS,Period,Axis,Incl,Ecc
36.93,4.4323,1865,25.32,0.545,74,0.21
38.9709,6.8536,,60,0.257,70.3,0.45
39.4816,20.0508,1993,98,0.194,135.1,0.74
39.2855,-11.1986,1990,161.77,0.5,46.23,0.27
39.9554,0.1475,2028,18,0.148,25.4,0.4
39.8803,-11.8689,,2.667,0.108,31.9,0.27
40.1815,26.6299,2034,475,1.21,122.5,0.38
40.5544,40.1947,,0.906,0.057,123,0.67
41.0444,49.2253,2081,2720,22.289,75.44,0.13
41.4978,-4.9622,2111,372.86,0.917,127.6,0.3
40.8545,-66.7107,,28.5,0.279,89.9,0.84
41.8581,19.3693,2122,720,2.913,114.33,0.77
42.8892,45.9967,2173,192,0.603,44.1,0.46
43.5737,52.7593,2202Aa,4.15,0.05,95,0.73
43.4269,38.3429,2200,31.37,0.258,114.3,0.816
42.9354,-52.5563,,65,0.28,103,0.9
44.3171,1.8861,2236,132.99,0.679,71.23,0.504
44.3171,1.8861,2236,150,0.7,69.8,0.55
44.6522,24.1344,2246,317.5,0.285,61.2,0.38
44.2998,-24.9644,2242,137,1.548,83.5,0.67
44.7325,21.6171,2253,241.903,0.442,60.06,0.217
44.7325,21.6171,2253,450,0.57,54.8,0.32
45.5592,18.3114,2301,125.379,0.297,43.89,0.47
46.1868,53.5084,2324Aa,14.65,0.159,88,0.72
46.3669,25.256,2336,227,0.47,77.5,0.73
47.0524,40.9518,2362,1.858,0.011,61.1,0.2
47.0524,40.9518,2362,1.862,0.104,83,0.23
48.1612,71.547,2377,344.89,1.102,125.18,0.26
47.3913,5.1983,2373,54.68,0.27,153.8,0.46
48.0391,37.2113,2390,616.92,2.122,105.37,0.61
48.0014,-29.0069,2402,314,4.367,81.5,0.76
49.3916,65.6538,2436,330,0.386,180,0.31
48.5098,0.7402,2416,790,1.308,136.1,0.32
48.0996,-44.4249,,44.82,0.443,157,0.897
49.4376,38.6347,2446,118.19,0.57,131.4,0.76
49.5726,-0.9342,2459,351.94,1.077,62.44,0.434
49.5726,-0.9342,2459,217.2,0.974,72.94,0.373
49.7218,-1.0353,2464,222,0.42,128.3,0.14
51.1089,-15.646,2524,25,0.148,53.5,0.18
52.0833,60.2499,2538,259.9,0.37,143.6,0.22
51.55,12.4848,2531,120.6,0.3,146.1,0.47
52.7534,29.6096,2578,183.63,0.35,42.1,0.49
53.7441,60.0372,2612,287.7,1.245,67.6,0.7
53.6062,24.4695,2616,600,0.719,155.2,0.71
54.0348,42.3503,2630,153,0.56,48.6,0.4
53.486,-31.0813,,19.4,0.225,84.4,0.34
54.2091,0.5974,2644,2101,8.023,32.07,0.18
57.0253,68.663,,57.7,0.67,121.1,0.65
57.2286,64.7439,2765,187.5,0.384,51,0.16
56.5612,24.1962,2755,1000,1.761,98.98,0.722
57.0954,52.0434,2768,67.7,0.325,151,0.17
56.3355,-27.8704,2756,425,2.761,48,0.28
57.5774,25.588,2799,62.28,0.43,83.19,0.62
58.4318,53.2827,2828,57.4,0.3,51.9,0.69
58.6224,5.1954,2849,117.74,0.173,37.68,0.21
59.3699,-1.161,2894,3200,11.1,180,0
62.5166,80.6916,2963,415.1,1,44.8,0.24
60.1972,5.0823,2928,52.46,0.144,50.9,0.46
61.0272,39.5101,2959,394.7,2.101,110.6,0.65
61.6133,43.4221,2980,109.5,0.396,123.3,0.66
61.8858,38.0861,2995,705.88,3.599,112.78,0.5
62.2276,29.1994,3017,60,0.28,78.4,0.55
62.2967,28.6488,3021,187.47,0.389,52.9,0.4
62.2967,28.6488,3021,207.253,0.673,72.37,0.755
62.3362,-7.9362,3032,125.8,0.255,60.3,0.85
62.6877,-4.8725,3041,20,0.145,62.3,0.76
62.6877,-4.8725,3041,40,0.197,67.6,0
63.3967,7.7219,3064,7.18,0.135,66.1,0.29
64.4734,58.7824,3098,254,0.48,138,0.18
63.9862,31.7011,3082,200,0.585,56.7,0.46
63.9136,-7.5665,3093,252.1,6.943,108.9,0.41
63.5366,-46.1318,,18.6,0.25,62.8,0.68
64.2578,19.6815,3102,63.3,0.358,130,0.98
64.5647,22.8123,3114,227,0.502,28.5,0.855
64.9784,16.5251,3135,90,0.57,54,0.61
65.6903,15.0522,3169,255.5,1.185,138,0.29
65.3865,-25.7301,3159,76.92,0.5,35,0.58
65.8314,11.3841,3174,681.95,1.51,142.97,0.319
65.964,9.4662,3182,55.4,0.2,29.3,0.71
66.5446,35.7456,3209,287,0.42,162,0
66.5559,34.7121,3211,80.26,0.25,118.2,0.52
66.3996,15.9459,,13.15,0.133,132.6,0.073
66.453,18.8622,3210,27.88,0.247,101.5,0.05
67.8024,58.9699,,23,0.07,65,0.3
66.7269,-24.0753,3230,175.7,1.25,79.7,0.87
67.2526,16.155,3248,40.4,0.425,92.6,0.41
67.523,15.6359,3264,180,1,107.6,0.82
67.523,15.6359,3264,170,1.029,110.5,0.82
68.724,39.143,3303,52.19,0.355,45.9,0.74
69.106,34.206,3323,58.19,0.183,43.7,0.41
69.0296,8.2221,3326,140.4,0.237,129.74,0.67
68.4881,-55.0433,,13,0.212,54.1,0.84
69.9802,53.483,3358,26.25,0.18,115,0.54
69.9802,53.483,3358,26.797,0.157,123.58,0.686
69.9802,53.483,3358,425,1.38,131.5,0.3
69.2157,-17.5473,3341,194.935,0.251,24.3,0.147
69.3647,-9.8483,,71,0.227,147,0.21
70.815,59.5262,3391,280,0.45,51.9,0.56
70.7379,57.1932,3389,74.4,0.256,27,0.475
70.5553,37.5097,3390,849,1.653,150.1,0.255
69.8801,-45.1216,,31.5,0.214,56,0.19
70.5572,2.9913,3395,24.5,0.088,120,0.9
70.5572,2.9913,3395,49,0.175,96,0
70.0841,-58.9417,,240,1.902,143,0.994
71.9596,53.2982,3434,157,0.405,51.7,0.4
71.877,43.398,3438,66.314,0.178,152.1,0.32
72.4003,2.2077,3465,225.84,0.178,41.8,0.27
72.6147,1.0557,3472,112.924,0.196,142.2,0.327
72.8086,11.071,3475,16.3,0.202,20.2,0.44
72.9587,13.6531,3483,100.95,0.705,50,0.55
72.9587,13.6531,3483,98.629,0.71,50.19,0.541
72.5586,-31.212,,97.4,0.27,0,0
74.0629,52.0954,3520,72.1,0.21,48.7,0.44
74.3314,53.7597,3536,284,0.78,137.9,0.74
74.7676,63.3739,3552,49.8,0.2,140.1,0.04
74.9758,53.4537,3573,110.43,0.179,133.8,0.634
76.1515,74.0648,,136,0.425,88,0.32
74.7475,-16.3816,3588,54.62,0.507,107.3,0.805
75.1279,5.0992,3596,400,1.15,102.3,0.32
75.4496,26.6638,3608,25,0.225,27,0.29
75.4343,20.8303,3614,82,0.66,72,0.87
75.6206,-21.2567,,42.7,1.4,70.9,0.83
76.4713,-13.9143,3686,217,1.162,44,0.18
76.8375,18.6504,3701,1.19,0.18,73,0.9
76.8375,18.6504,3701,2.38,0.1,0,0
76.9609,8.4987,3711,198.9,1.04,141,0.17
77.4434,28.0285,3730,32.1,0.217,139.5,0.93
77.2355,3.2126,3728,150,0.252,59.5,0.74
78.3739,1.9684,3799,312,0.383,23.28,0.85
79.1694,46.0134,3841,0.285,0.055,136.64,0
79.3415,45.8451,3841,388,3.72,65,0
79.1146,-1.6388,3857,178.5,0.26,55,0.08
81.1976,63.3799,3956,370.3,1.637,123.8,0.14
80.6553,2.6133,3959,83.9,1.06,113.7,0.07
80.9719,-0.8732,3991,24.68,0.189,81.76,0.75
80.9719,-0.8732,3991,49.36,0.332,90,0
81.1074,-2.3912,4002,9.219,0.036,90,0.43
81.3751,-0.5437,4020,359.1,0.28,50.9,0.19
83.0603,70.8144,4076,400,0.705,119,0.5
81.8949,-20.9163,,180,0.3,44.9,0.19
82.6878,5.944,4115,586,1.293,101.63,0.145
83.3286,44.8235,,7.2,0.04,100.7,0.01
83.2565,-24.2463,4153,60.6,0.309,144.9,0.75
83.2565,-24.2463,4153,89.3,0.34,135.6,0.8
84.1038,21.9978,4200,2959,5.571,56.1,0.21
84.8345,43.7089,4236,187,0.2,44.8,0.4
84.6564,30.493,4229,53.2,0.135,136.2,0.56
83.8127,-46.9533,,85.3,0.277,41.5,0.68
84.6804,-2.5923,4241,170,0.247,165,0.07
85.32,16.5358,4265,95.36,0.357,78.48,0.926
85.1866,-1.9472,4263,1508.6,2.728,72,0.07
85.7143,-6.8025,4299,20.1,0.201,65.2,0.36
87.0713,1.6181,4396,61.831,0.159,42.03,0.404
88.949,36.9351,4505,170,0.323,62.5,0.84
91.3227,74.0028,4603,163,0.408,115.4,0.765
89.7323,12.8094,4562,126,0.265,75.4,0.56
90.7794,58.2197,4604,276.92,0.29,0,0
89.5125,-52.2092,,182,0.572,12,0.72
90.0955,-31.0463,,72,0.94,101.8,0.5
90.0955,-31.0463,,390.6,3.95,110.2,0.27
90.6004,9.6509,4617,17.5,0.276,95.06,0.76
90.6004,9.6509,4617,18.25,0.089,91.8,0.76
91.0201,23.2641,,13.17,0.19,57.3,0.325
91.2023,-48.4585,,463.5,2.94,56.8,0.15
92.4472,-22.7687,,18.2,0.203,35.4,0.35
94.6645,67.7342,4876,200,0.722,87,0.4
93.7113,22.5046,4841,473.7,1.08,142.7,0.54
93.9672,1.1677,,28.1,0.165,32,0.35
93.8675,-9.0318,4866,132.7,0.24,55.7,0.52
94.2784,9.9485,4890,9,0.109,59.6,0.23
94.9816,28.426,4929,54,0.18,41.5,0.75
94.9816,28.426,4929,108,0.28,63.8,0
95.353,2.271,4971,120,0.448,58.4,0.45
96.3851,22.462,5042,514.3,0.75,47.5,0.87
96.8392,-25.7447,5092,59.7,0.382,10,0.57
97.329,-2.7983,,16.6,0.932,53.4,0.38
97.8571,7.8304,5159,31.6,0.2,37.4,0.3
97.4675,-50.2361,,52.9,0.484,133,0.959
97.4675,-50.2361,,101,0.514,30,0.24
98.5763,14.7405,5197,2360,3.21,124.14,0.2
98.6217,-11.2278,5212,161.5,0.432,53.5,0.34
99.1154,27.286,5234,114.8,0.86,112.2,0.71
99.4182,16.3991,,12.9,0.038,39,0.8
98.98,-36.0827,,29,0.295,99.7,0.493
100.4571,30.69,5332,126.6,0.18,137.9,0.26
101.5603,59.4489,5400,699,1.66,180,0.03
101.3644,29.3645,5408,105.87,0.32,118,0.54
101.3173,-16.6873,5423,50.09,7.5,136.53,0.592
101.3173,-16.6873,5423,49.94,7.62,135.52,0.588
101.8609,18.1925,5447,1057.8,1.536,113.56,0.613
101.9345,0.341,5455,299,0.56,143,0.34
102.1543,7.6225,5469,180,0.77,42.7,0.81
103.28,59.4492,5514,480,0.736,56.4,0.53
102.9358,25.0493,5515,187,0.21,42.6,0.27
103.1846,24.9636,5535,305,0.546,144,0.31
103.6584,13.1752,5559,1943.8,8.194,125.54,0.15
103.6485,-27.56,,1461.7,1.926,61.29,0.917
104.3586,2.8847,5625,250,0.268,126,0.25
104.3586,2.8847,5625,85,0.18,130.5,0.8
104.321,-35.5002,,16.74,0.218,35,0.43
104.3249,-49.4847,,55.1,0.2,32,0
105.9029,39.6722,5726,40.2,0.27,116.2,0.35
105.6605,15.9731,5720,44,0.2,139.1,0.6
105.6605,15.9731,5720,95,0.25,123.1,0
106.1028,-3.0486,5752,42.2,0.27,102.4,0.52
108.2051,27.2332,5871,116.5,0.929,137.26,0.941
108.7101,-15.4734,5925,512.3,0.727,0,0
109.1905,0.9729,5949,66,0.343,147,0.2
109.418,9.3045,5958,206.04,1.1,116.95,0.72
109.2692,-12.0284,5956,109,0.244,46.3,0.51
110.0439,21.9827,5983,1200,6.975,63.28,0.11
109.3679,-46.9981,,84,0.609,111.1,0.9
109.3679,-46.9981,,81.5,0.559,112,0.892
112.5744,49.9781,6117,381.4,0.94,60.1,0.59
112.711,48.1934,,0.94,,94,0.6
112.711,48.1934,,20.5,0.656,40,0.18
112.3433,-14.9899,6126,1090.9,3.684,49.43,0.36
113.061,14.0882,6154,83.7,0.627,97.1,0.6
113.061,14.0882,6154,75,0.64,100.4,0.62
113.6513,31.8838,6175,511.3,7.369,112.94,0.36
113.6513,31.8838,6175,420.07,6.295,115.94,0.33
114.8535,5.2552,6251,40.65,4.548,35.7,0.4
115.42,37.435,6276,165,0.331,167,0.775
115.4182,9.7003,6291,571,1.38,55.8,0.77
115.7521,-17.0703,6315,138,0.348,138,0.57
116.9884,60.3067,6354,18.8,0.2,129,0.5
116.5257,21.1244,6347,169,0.386,46,0.32
117.7103,3.2801,6405,211.8,0.265,59.1,0.17
117.9346,-13.8892,6420,23.18,0.58,77.8,0.69
118.21,-5.4246,,30.8,0.295,76.5,0.68
