_RAJ2000,_DEJ2000,ADS,Period,Axis,Incl,Ecc
203.0011,31.152,,20,0.26,144.1,0.65
203.2049,34.9028,8939,54.8,0.18,68.6,0.8
203.4061,29.7368,8943,316.62,0.388,24.5,0.227
203.5811,-0.3128,8949,334,2.35,58,0.24
203.6809,-13.2125,8954,197.7,0.563,70.5,0.93
204.2879,-61.6943,,34.969,0.463,117.82,0.777
204.3642,36.2906,8974,240,1.091,144.02,0.83
204.3642,36.2906,8974,220.4,1.205,132.6,0.856
204.8864,10.7424,8987,22.33,0.217,42.9,0.52
204.8864,10.7424,8987,22.35,0.208,47.8,0.527
206.533,5.1158,9019,312.5,1.091,43.7,0.63
207.2771,26.9859,9031,155,2.423,46.8,0.443
208.3896,-35.6599,,257.7,1.268,72.3,0.71
208.7418,-8.058,9053,2613,4.998,50.9,0.35
209.2932,-27.5224,9064,458.3,0.649,180,0
209.5942,2.2294,9073,90.46,0.188,124.92,0.461
209.408,51.9961,9071,1047.2,2.35,138.32,0.898
210.4936,57.2182,9089,333.3,0.518,39.3,0.34
210.9377,8.486,9094,38.74,0.19,13,0.43
210.9377,8.486,9094,38.65,0.194,15,0.43
212.1845,33.676,9126,305.56,0.564,119.92,0.066
213.0622,44.1808,9159,215,0.357,134,0.24
213.3623,12.5817,9165,210,0.582,117.2,0.62
213.2653,55.3322,9167,813,2.275,11.2,0
213.8379,3.1341,9182,213.44,1.1,148,0.24
213.9925,-7.0653,9186,148.2,0.4,46,0.6
213.949,10.3015,9185,36,0.28,124.4,0.9
213.949,10.3015,9185,73,0.3,110,0.06
214.1249,33.5362,9195,38.9,0.16,24.8,0.62
214.4691,69.2398,9220,225,0.35,142.6,0.35
215.0704,48.5084,9229,321,0.898,76.9,0.88
215.8569,8.4452,9247,39.5,0.228,37.5,0.254
216.6828,16.4167,9264,42,0.19,125,0.35
217.3843,36.2046,9285,135.67,0.355,123.46,0.89
217.7637,-5.8108,,45.4,0.321,55,0.025
217.7637,-5.8108,,22.4,0.272,50.5,0.75
218.0838,26.6751,9301,30,0.21,148,0.15
220.1057,-60.8486,,79.92,17.515,79.24,0.516
219.2375,48.216,9324,322.6,0.704,134,0.46
220.2926,13.7216,9343,123.44,0.595,142,0.957
220.6525,19.4906,9352,52,0.63,120,0.1
220.6525,19.4906,9352,51.337,0.624,120.57,0.09
221.5454,-21.1713,,25.95,0.297,56.07,0.045
221.5673,9.6628,9380,225.97,0.987,121.02,0.675
221.3708,42.3791,9378,88.4,0.325,172.9,0.53
222.216,5.9502,9392,227.9,0.835,107.4,0.623
222.3127,10.2176,9397,9.85,0.17,50.9,0.673
222.3127,10.2176,9397,9.92,0.165,57,0.61
222.3127,10.2176,9397,19.8,0.155,36,0.05
222.7604,-37.0973,,2507.26,2.657,166.66,0.933
223.5844,-66.4105,,288,1.386,119.4,0.3
222.8496,19.1047,9413,151.505,4.904,140.04,0.512
222.8537,44.9222,9418,400,0.934,64.4,0.25
223.3481,15.7079,9425,215.4,1.09,112.5,0.6
224.1431,-34.6382,,40,0.256,126.2,0.865
223.9362,39.6458,9441,180,0.23,11.9,0.37
224.6565,-27.6512,9453,339.3,0.93,73.04,0
226.0643,-15.4912,,41,0.24,129,0.19
225.9667,47.6601,9494,225,3.772,83.9,0.43
226.7956,-2.2858,9504,61.19,0.2,110.1,0.65
226.7956,-2.2858,9504,60.7,0.21,109,0.61
227.2102,-45.2843,,72.88,0.422,79.56,0.825
226.8451,18.4484,9505,8,0.1,122.6,0.45
228.0517,-19.7941,9532,23.42,0.116,162,0.3
229.0152,-4.9034,9557,156.4,0.37,98.7,0.4
229.5665,26.835,9578,203,1.216,58.2,0.652
230.8434,-59.3258,,778.54,2.384,107.63,0.62
230.8434,-59.3258,,269.9,2.485,100.07,0.854
231.2881,-46.9882,,187.233,0.41,55.05,0.304
230.8038,30.2943,9617,41.623,0.907,59.02,0.276
231.5617,-28.3186,,141.712,0.418,135.28,0.381
231.1252,37.347,9626,260.1,1.463,135.4,0.59
231.8303,9.7013,9643,50,0.189,69.7,0.8
231.8413,17.635,9645,59,0.206,59.9,0.9
232.0579,2.8528,9654,111,0.218,69.5,0.21
233.2807,-24.4887,9689,57.32,0.245,25.28,0.62
233.1955,19.7454,9692,102.55,0.3,62.8,0.36
233.7923,-41.1688,,147,0.59,95.6,0.49
233.6968,10.5323,9701,3168,5.843,112.6,0.31
234.0303,39.8028,9716,55.88,0.785,62.6,0.591
234.256,64.4401,9730,135,0.386,127,0.24
235.5009,0.4628,9747,56.1,0.19,45.6,0.77
235.5009,0.4628,9747,55.2,0.135,0,0.7
235.3916,19.6793,9744,11.07,0.117,69.1,0.8
235.3916,19.6793,9744,22.14,0.21,84.3,0
235.7034,26.2987,9757,91,0.74,96,0.42
235.3355,59.9814,9756,325,0.82,71.3,0.78
234.9164,79.9687,9769,187.58,0.436,118.53,0.87
234.9164,79.9687,9769,150.75,0.349,139.6,0.903
237.3234,60.5309,9806,140,0.269,39,0.44
238.5353,16.988,9831,256.96,0.3,50.2,0.14
238.9178,-26.7438,9836,183,0.551,57.5,0.24
238.9728,-2.1924,9842,2331.2,6.953,31.68,0.38
240.8911,-57.7796,,26.93,0.366,161.5,0.52
241.1021,-11.3749,9909,45.69,0.72,36.9,0.74
241.4177,-32.8565,,134,0.82,143.5,0.15
242.1168,-10.0996,9932,55,0.51,84.9,0.88
244.255,-53.7005,,115.7,0.458,36.9,0.34
243.4281,46.631,9975,108.99,0.654,99.54,0.888
243.6708,33.8656,9979,1000,6.599,33.33,0.78
243.9904,7.3672,9982,473.5,2.457,133.1,0.82
244.2195,1.1856,9989,224.31,0.429,27.72,0.08
244.9511,26.7764,10007,44,0.113,130,0.64
245.5984,-32.3371,,106,0.578,117,0.2
245.3159,22.9961,10017,141.44,0.491,136.36,0.43
246.3391,-49.1485,,311.2,1.659,180,0
247.3588,-26.4379,10074,878,2.9,90,0.1
247.2347,18.3962,10075,236.07,2.234,107.94,0.767
247.7372,1.9834,10087,129.87,0.97,26.8,0.618
247.5102,33.8828,10085,89.11,0.16,62,0.68
247.9434,-7.0485,10092,365,0.465,130,0.58
247.9503,-2.2649,10095,107,0.247,117.5,0.14
249.1607,69.7692,10140,202.14,0.35,118.6,0.484
250.3266,30.1081,10158,140.7,0.46,148.5,0.54
250.3332,31.5916,10157,34.487,1.355,132.9,0.46
251.4371,-0.7665,10196,62.07,0.23,101,0.07
251.4371,-0.7665,10196,30.8,0.113,124,0.86
250.9812,43.4817,10188,121.13,0.932,119.92,0.423
252.3065,45.9774,10227,56.75,0.267,46.32,0.22
252.7922,9.4131,10229,1080,1.25,105.9,0.35
252.9646,28.6656,10235,261.82,1.012,27.06,0.56
253.883,-8.3109,,1.715,0.218,166,0.05
254.7171,-37.6214,,37.9,0.181,32.5,0.12
254.1489,57.1792,10276,84.8,0.26,147,0.65
254.1022,65.0302,10279,577.85,1.183,96.85,0.324
256.6492,0.6487,10341,298,1.134,43.48,0.023
257.0655,-1.0807,10355,137,0.415,130.2,0.27
256.3473,54.4661,10345,672,3.945,144.7,0.45
256.3473,54.4661,10345,472.07,3.143,147.91,0.33
255.9072,69.7987,10340,155,0.403,105.7,0.12
257.0124,35.9373,10360,8.159,0.116,126,0.38
257.0124,35.9373,10360,16.08,0.167,109.7,0.144
257.583,-15.7265,10374,88,0.86,100.4,0.84
257.583,-15.7265,10374,84.31,1.057,97.3,0.89
258.022,45.7144,,12.98,0.71,153.9,0.73
258.4111,17.2662,10403,87.7,0.26,58.2,0.53
258.8527,-26.5651,10417,548.7,13.91,99.18,0.9
258.6656,14.3851,10418,3600,4.68,155.8,0
258.9044,-10.2971,10421,106,0.351,98.7,0.58
258.9247,-9.8135,10423,157,0.365,140,0.35
259.7334,-46.6415,,693.24,10.415,35.64,0.779
259.7334,-46.6415,,2204.982,23.9,44.88,0.901
259.6876,-34.991,,42.09,1.82,128.2,0.574
258.5167,56.1369,10425,90.2,0.275,59,0.62
259.4425,11.6757,,10,0.056,120,0.2
260.1736,-7.1015,10480,86.5,0.304,112,0.13
260.9959,-9.3604,,29.7,0.224,53.5,0.05
261.2742,34.7279,10542,110,0.404,115,0.83
262.0664,-20.9674,10561,45,0.205,35,0.54
262.7022,-37.4289,,85.15,0.249,49.5,0.2
262.5908,-1.0614,10598,46.4,1.017,99.16,0.174
262.3448,29.4045,10585,60,0.6,81.3,0.18
263.1017,28.8118,10621,64.82,0.18,106.4,0.3
263.1473,34.7459,10624,23.7,0.163,66.5,0.38
263.7323,12.567,,8.5,0.065,103,0.4
266.0821,-72.2193,,101.3,0.653,159,0.25
264.2876,27.8898,,24,0.273,159.1,0.21
264.8619,-15.7568,10683,144.4,0.513,73.3,0.76
263.7437,61.8882,10660,76,1.52,105.7,0.16
264.9868,-0.6382,10696,152.8,0.248,151.8,0.78
265.4971,15.9509,10723,122.68,1.004,137.39,0.4
266.7913,-38.1062,,34,0.157,55.65,0.62
266.6134,27.7457,10786,43.2,1.36,66.2,0.178
267.6351,7.2378,10828,500,0.622,119,0.55
268.3413,-34.7242,,160.759,0.37,61.11,0.607
268.3214,24.9954,10871,37.4,0.27,72,0.46
269.3731,10.9549,10916,400,0.5,43.5,0.8
269.6125,4.4569,,14.61,0.17,87,0.66
269.7765,32.4767,10954,131,0.223,34.5,0.45
270.761,-8.1825,11005,280.03,1.494,59.32,0.718
270.6388,44.236,11010,336.55,0.981,129.96,0.41
271.708,-43.4255,,191.23,1.062,145.18,0.522
271.3562,2.5404,11046,88.13,4.545,121.15,0.5
271.4623,21.4424,11060,20.081,0.253,77,0.956
271.5648,38.3945,11071,101.5,0.287,78.6,0.42
271.7523,30.5624,11077,55.8,1,32,0.74
271.8821,19.663,11080,271,0.302,141.8,0.44
272.308,-22.1849,,9.48,0.168,61.1,0.4
272.3921,4.0006,11111,270,1.16,103,0.57
272.3921,4.0006,11111,425.4,1.55,102.22,0.701
272.5415,16.4693,11123,3040,1.5,142.3,0.24
268.2433,83.9021,11006,180,0.505,75.5,0.8
273.6293,0.1791,11186,278,0.67,102.7,0.946
274.4479,43.8396,11247,249.83,0.26,180,0
274.9305,10.2755,11260,118.42,0.45,127.1,0.06
275.7329,14.9668,11300,60,0.222,84,0.54
276.2465,-1.579,11324,240,0.59,93.3,0.34
276.2442,27.3891,11334,775,0.9,115.9,0.3
275.1922,71.3355,11311,271.7,0.392,118.96,0.44
275.2253,72.7365,,0.768,0.124,79.9,0.452
278.9919,11.7314,11484,324.5,0.464,121.82,0.22
278.8907,23.5977,11479,210.9,0.416,118.69,0.821
278.8907,23.5977,11479,190.8,0.418,119.34,0.818
278.9631,16.9814,11483,292,1.358,134.23,0.48
278.4927,52.3462,11468,169.5,0.243,48.6,0.33
278.4927,52.3462,11468,184.6,0.255,45,0.4
279.6121,-3.1966,11520,12.18,0.196,117.45,0.26
279.5958,8.8371,11524,485.3,0.34,150.6,0.715
279.6681,16.5382,11530,112.5,0.28,23,0.65
280.864,-55.7717,,47.7,0.268,106,0.18
280.2526,24.8275,11574,52,0.168,120.5,0.57
280.311,30.2951,11579,90,0.25,116.5,0.9
279.6076,67.1264,11568,137,0.587,85.5,0.695
280.9436,31.6846,11623,90,0.43,49.2,0.8
281.5645,-27.3458,11643,104.6,0.398,129.8,0.615
281.0779,39.6697,11635,1165.6,2.78,138,0.19
281.0779,39.6697,11635,585,2.95,120.5,0.49
280.7755,59.5858,11632,453,15.66,69.3,0.53
279.355,77.6797,11584,251.48,0.38,65.5,0.48
279.355,77.6797,11584,434.62,0.54,73.4,0
281.6495,38.3584,11680,14.67,0.21,140.1,0.53
281.5552,64.1941,11692,121.3,0.42,67.8,0.32
283.4342,-5.5436,11791,239,0.55,27,0.46
283.9489,3.445,11842,225,0.35,138,0.2
285.873,-68.7602,,13.58,0.131,158.8,0.38
284.257,32.8994,11871,61.203,1.24,115.16,0.249
284.3618,58.2195,11897,259.07,0.601,127.18,0.895
285.641,-29.874,11950,21.138,0.532,110.6,0.205
286.0031,-38.0711,,46.4,0.2,42,0.42
286.0936,-21.5359,11989,241.3,0.97,132.8,0.33
286.6116,-37.0487,,120.42,1.907,149,0.313
285.5386,52.2631,11979,138,0.195,124.5,0.25
285.9619,26.6984,11998,86.68,0.168,152.2,0.676
286.3725,33.8693,12033,92.3,0.34,124.2,0.83
286.5425,30.4374,12040,687,1.25,55.8,0.25
287.751,-7.4198,12126,120,0.256,126.7,0.69
288.1032,-33.0678,,131.2,0.454,43.1,0.54
288.0298,2.8999,,2.3,0.031,120,0
289.3132,-66.6607,,157,0.56,47,0.58
287.7801,38.7828,12145,63.1,0.37,110.3,0.46
287.6386,54.4829,12144,127.3,0.24,50.1,0.41
288.8816,-25.2602,12214,18.75,0.153,83.3,0.468
289.1778,-45.8755,,7.61,0.234,130,0.31
288.5737,19.0723,12201,2316,2.041,58.7,0.33
289.7527,-33.2692,,60,0.51,92.15,0.78
291.3197,-24.5044,,10.8,0.123,90,0
291.3785,3.114,,3.422,0.058,142,0.4
291.6388,27.3174,12447,850,1.772,155.5,0.956
292.0435,-12.1473,12469,172,1.07,36,0.48
292.3932,12.4069,12515,240,0.233,180,0
292.9167,17.7952,12557,730,1.88,0,0
292.5514,56.6446,12552,125,0.172,110,0.25
292.6994,63.6138,12577,182.47,0.237,37.69,0.36
293.7599,23.4696,12631,182.58,0.241,51.13,0.41
293.7599,23.4696,12631,239.04,0.21,0,0
293.9373,23.2712,12648,163.1,0.255,122.4,0.23
293.7609,50.6214,12656,97.4,0.275,0,0.55
294.8494,22.2626,12752,342.5,0.54,128.1,0.29
294.8376,30.1462,,1.188,0.026,79,0.516
297.2936,-61.8209,,61.448,0.302,154.64,0.671
297.383,-55.4192,,275,0.95,129,0.4
296.7787,-8.155,12911,192,0.268,39,0.64
296.2297,45.126,12880,827.6,3.2,147,0.487
296.3996,33.6101,12889,224.68,2.048,152.71,0.762
296.8477,-1.8041,12924,65.3,0.167,127.6,0.61
296.8477,-1.8041,12924,111.2,0.218,120.4,0.15
297.173,15.066,12961,89.8,0.225,172.9,0.07
297.2345,19.1334,12973,22.8,0.146,135,0.85
297.1801,35.317,12972,157.21,0.607,135,0.08
297.1801,35.317,12972,156.52,0.624,131.4,0.08
298.7437,41.8642,13125,25.69,0.285,39.2,0.52
298.7328,50.8148,13135,112.5,0.17,49.8,0.16
299.3375,5.2176,13156,146.67,0.205,128.9,0.08
299.515,4.9358,13169,122,0.36,41.5,0.18
300.2948,-38.5928,,474.7,1.131,36.9,0.76
300.3654,10.7432,13256,2356,3.822,81.5,0.67
302.5538,43.9462,13461,86.16,0.455,116.7,0.48
305.0502,-34.5866,,18.6,0.152,99.8,0.71
304.5495,29.2117,13665,252,1.225,99,0.87
305.3094,2.8502,13738,230.4,0.88,129.7,0.756
304.969,45.3659,13723,113.5,0.336,128.7,0.85
305.0566,39.3996,13728,90,0.214,45.6,0.92
305.2577,44.6015,13744,190,0.736,65.5,0.55
305.7839,20.8712,13777,207.517,0.27,47.05,0.479
306.7279,-37.4067,,232.76,1.225,133.4,0.733
306.2684,59.594,13850,83.72,0.172,136.5,0.77
307.2761,7.1658,13894,178,0.466,25,0.26
307.4562,9.684,,1.5,0.029,137,0.5
307.7818,15.8034,13944,48.25,0.166,114.7,0.47
308.1393,-16.6115,13961,42.5,0.231,115,0.93
308.2228,13.94,13987,105,0.426,151,0.2
309.3693,14.5988,14073,26.6,0.48,62.2,0.35
309.3693,14.5988,14073,26.65,0.475,63.6,0.35
309.8227,-14.9486,14099,200,0.31,75,0.57
309.8948,4.9692,,39.4,0.8,85.4,0.12
310.4551,-32.4278,,239.57,6.95,107.21,0.83
310.4551,-32.4278,,675,6.4,130.7,0.6
309.305,75.5875,,30.45,0.51,29.2,0.595
311.2619,12.7296,14238,118.6,0.54,59.7,0.94
311.5626,15.8985,14270,2851,7.364,66,0.18
311.6609,16.1326,14279,3249,13.813,119.2,0.88
311.8489,36.4846,14296,391.3,0.777,133.8,0.45
312.3485,11.4041,14333,114.28,0.73,117.5,0.17
312.6843,-31.2613,,66.7,0.235,37,0.25
312.8479,-5.626,14360,187,0.855,68.3,0.47
313.1837,46.1113,14396,30,0.246,118.3,0.89
313.766,28.0981,14424,102,0.407,67.2,0.27
313.4262,59.314,14412,56.1,0.15,143,0.54
313.4262,59.314,14412,58.8,0.19,134,0.51
314.7762,-13.2125,14492,200,0.236,26,0
314.7772,4.3046,14499,101.4,0.656,92.8,0.702
315.0047,7.5229,,52.5,0.27,127.1,0.22
314.9992,40.0738,,28.25,0.73,33,0.55
315.7718,1.528,14573,3055,3.74,136.09,0.58
316.1832,3.5309,14602,180.7,0.94,71.1,0.63
316.5743,38.6511,14636,722,24.65,51.85,0.401
316.9976,5.1531,14666,177,0.303,126.2,0.59
318.13,28.3445,14748,273.8,0.416,63.9,0.28
318.3599,7.2122,14759,113,0.348,115.2,0.83
318.9337,-53.2692,,17,0.11,144,0.63
318.3752,15.9791,14761,34.44,0.227,69,0.63
318.6627,-0.836,14775,78.35,0.166,133.8,0.173
318.6165,10.0139,14773,5.7,0.26,100,0.42
318.6927,38.0317,14787,49.8,0.85,134.5,0.24
318.6927,38.0317,14787,49.9,0.88,134.2,0.25
318.4377,64.415,14783,84.4,0.61,82.4,0.85
319.6576,11.5706,14839,76.1,0.52,99.8,0.88
320.3416,10.3416,14893,6.05,0.102,132,0.91
321.0842,3.7127,14942,103.7,0.29,137.1,0.6
320.5749,57.5612,14926,156.5,0.73,48.6,0.62
321.8289,-32.3001,,117,0.176,35,0.26
325.3714,-77.3828,,2.84,0.052,65,0.25
323.8561,24.4464,15115,173.9,0.293,60.5,0.29
324.4853,27.7168,,85,0.436,157,0.3
324.8824,-0.0481,15176,48.7,0.423,55.2,0.86
324.8689,30.1523,15182,198.8,0.283,133,0.24
325.5741,5.9059,15236,77.84,0.26,63.2,0.73
325.6055,41.0734,,27.2,0.16,155,0.33
325.631,41.0402,15251,109.1,0.25,102,0.8
325.9655,27.8417,15267,80.5,0.303,144.8,0.295
326.6554,-57.6729,,6.25,0.205,130.9,0.551
326.6554,-57.6729,,12.48,0.315,117,0.024
326.0345,28.7421,15270,507.5,4.278,76.5,0.58
326.1564,25.6427,15281,11.558,0.255,108.4,0.288
326.4665,11.8775,15300,43.4,0.14,150.3,0.39
327.5376,17.3,,29,0.396,71.7,0.24
327.7642,29.1681,15378,21,0.16,24.5,0.41
328.7906,-61.8784,,27.5,0.24,81.4,0.59
328.4405,-20.0124,15419,105.88,0.32,126.2,0.3
327.7639,66.8361,15398,104,0.284,48,0.49
328.8758,10.8903,15447,163.64,0.77,60.6,0.62
329.4735,-54.9912,,6.094,0.127,63.08,0.81
329.4735,-54.9912,,12.242,0.16,73.24,0.1
329.9316,49.1295,15530,87,0.14,23.5,0.54
331.276,29.869,15610,171,0.334,121,0.1
330.9357,64.6183,15600,3800,11.5,109,0.24
330.9357,64.6183,15600,2.254,0.073,71.9,0.589
331.879,25.6384,15650,150.7,0.35,75,0.91
334.6408,-60.2504,,11.5,0.049,113,0.38
336.0266,-4.8438,15902,190,0.49,137,0.46
337.207,-0.0224,15971,856,5.055,131.25,0.495
337.207,-0.0224,15971,25.5,0.072,55.62,0.26
337.0339,57.7109,15972,44.6,2.412,164.5,0.41
337.4899,4.4287,15988,140,0.75,89,0.51
337.567,22.4625,15992,304.1,0.36,12.3,0.74
338.1698,53.7817,,46.1,0.48,36,0.63
338.2117,49.3818,16046,62.6,0.21,28,0.62
338.241,69.8992,16057,225.6,0.78,79,0.27
338.9348,53.2011,16098,22.5,0.16,63.5,0.22
339.6237,2.3032,16131,188.6,0.61,133.7,0.29
339.0357,72.8688,16111,52,0.23,66.5,0.8
339.6892,44.3037,16138,30,0.353,90,0.3
339.6892,44.3037,16138,30,0.34,85,0.3
340.0026,1.2045,16157,108,0.403,75.8,0.3
340.1343,6.5883,16165,179.3,0.3,35.9,0.59
340.1938,-3.5449,,28,0.17,80,0.9
340.0575,37.5215,16164,164.48,0.576,77.95,0.71
340.2065,14.5386,16173,20.93,0.3,131.4,0.72
340.4566,21.4228,16185,636,1.46,126.9,0
340.4566,21.4228,16185,82,0.074,42.2,0
340.7469,30.2238,16211,2.23,0.022,77,0.15
341.2653,-2.658,16235,195,0.408,142,0.54
342.1256,31.0948,16278,161.8,0.2,135.3,0.15
342.4941,-32.8043,,26.9,0.212,148.3,0.54
342.8476,26.397,16314,243.26,0.422,127.1,0.45
343.0185,57.731,16326,98.25,1.096,103.2,0.835
343.4197,44.7487,16345,104.5,0.647,43,0.54
343.4197,44.7487,16345,102.27,0.68,47.1,0.53
343.7957,-5.0004,16365,120,0.47,85,0.68
343.7554,51.5331,16368,105.52,0.19,122.1,0.54
343.9365,15.7834,16373,191.3,0.678,121,0
344.6394,-45.5149,,44.6,0.351,62.7,0.39
344.0572,72.8343,16393,128.57,0.24,128.7,0.64
344.6313,9.3686,16417,26.5,0.39,90,0.55
344.8001,11.7357,16428,270.13,0.815,42.58,0.305
344.8001,11.7357,16428,286,0.88,44.6,0.33
345.583,18.6044,16463,135.56,0.323,21.8,0.54
345.6495,42.7547,16467,76.6,0.277,48.9,0.62
346.3002,-7.6938,16497,21.84,0.2,44.7,0.356
346.3002,-7.6938,16497,22,0.2,42.8,0.35
347.2065,10.9583,16539,72,0.26,143.9,0.28
346.9693,75.3916,16538,150,0.86,37.6,0.6
347.8602,38.2098,16576,166.748,0.345,110.14,0.38
348.1508,2.6937,16591,29.5,0.2,112.3,0.4
349.2834,-13.8207,16644,90,0.48,90,0.64
349.1064,64.1124,16638,516.82,0.43,122.67,0.365
349.4093,-1.5205,16649,388.35,1.99,108.1,0.49
349.3955,18.3129,16650,172,0.38,141,0.25
349.7214,5.4135,16665,91.8,0.768,30.7,0.77
349.6482,68.1135,16666,796.16,2.991,58.24,0.171
350.4528,-12.2852,16700,173,0.47,137.5,0.45
350.6573,-15.0516,16708,63.16,0.42,78,0.12
352.6101,30.8347,16800,48.76,0.198,132.4,0.43
352.9292,19.9185,,177.9,3.94,148.92,0.18
353.0471,7.0853,16819,30.532,0.203,43,0.254
353.0471,7.0853,16819,31,0.204,38.4,0.25
353.4892,31.3358,16836,241.2,0.447,35.6,0.28
353.9153,-27.4803,16850,76.1,0.577,51.5,0.53
354.348,7.6202,16873,182.56,0.3,0,0
354.3721,44.4368,16877,351.22,0.41,40.3,0.39
354.449,66.0203,16880,187.21,0.29,37.18,0.336
354.5472,55.237,16886,116,0.27,118,0.4
354.8238,45.7206,16904,292,0.232,180,0
355.0186,12.9708,16914,343.31,0.859,24.7,0.458
355.2773,46.2211,,20,0.157,55.4,0.3
355.7712,11.8382,16951,408.81,0.75,49.2,0
357.1604,64.8891,17020,565.77,0.74,52.5,0
357.4649,27.6726,17030,113,0.22,70,0.32
357.6433,-51.7105,,135,0.84,164.5,0.24
357.934,-6.6104,17052,29.5,0.18,148,0.35
359.0486,25.3399,17105,220,0.293,151,0
359.2048,4.7234,17111,83,0.34,134,0.87
359.876,33.7234,17149,355,3.125,65,0.56
0.3536,39.6401,17178,227,0.85,128.8,0.66
0.5052,27.1068,17175,26.27,0.83,50,0.38
0.6558,-8.4931,4,218,0.379,111.5,0.54
1.1849,38.1735,34,194.7,0.44,18.8,0.49
