DESIGNATION            ,M?,2MASS_NUMBER,RA_h,RA_m,RA_s,DEC_d, DEC_'," DEC_""",DIST,+/-0,SPEC,V,r,R, I,I,J,H,Ks,K,W1,W2,W3,Teff,RAD,MASS,a,PER,DISC,STAT ,PM?,x,y,z
DENIS-P J141217.1-043358   ,,J14121709-0433582  ,14,12,17.1,-4,33,58,25.7,    ,L5  ,     ,     ,     ,     ,18.78,15.06,14.38,13.9,      ,     ,     ,     ,    ,    ,    ,      ,          ,     , UNCON,,11.51862277,1.670120817,22.91335912
WISEP J174640.78-033818.0  ,,                   ,17,46,40.8,-3,38,18,25.7,    ,T6  ,     ,     ,     ,     ,     ,17.17,17.45,17.08,      ,18.02,14.79,12.17,975,    ,    ,      ,          ,2013,      ,,7.971535952,1.333977625,24.39600619
WISE J103657.59-262319.0   ,x,                   ,10,36,57.6,-26,23,19,25.7,2.7,T1.5,     ,     ,     ,     ,     ,16.71,16.03,     ,15.51,14.69,13.98,12.88,    ,    ,    ,      ,          ,2015,      ,P,9.063639931,0.912660551,24.03138535
WISE J103657.59-262319.0 B ,x,                   ,10,36,57.6,-26,23,19,25.7,2.7,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,,9.063639931,0.912660551,24.03138535
SDSS J140444.86+463430.4   ,,J14044495+4634297  ,14,4,45,46,34,30,25.6,4.9,L0  ,     ,     ,     ,18.66,     ,14.34,13.53,13.06,      ,     ,     ,     ,    ,    ,    ,      ,          ,2007,      ,,12.20226803,1.823641176,22.43075986
DENIS-P J2329343?540858    ,,J23293174-5408587  ,23,29,31.7,-54,8,59,25.6,4.9,L3  ,     ,     ,     ,     ,18.37,14.96,14.28,13.82,13.22,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,9.83935278,0.34359777,23.63110402
2MASS J11193254-1137466    ,,J11193254-1137466  ,11,19,32.5,-11,37,47,25.6,8.6,L7  ,     ,     ,     ,     ,     ,17.23,15.7,14.6,      ,     ,     ,     ,    ,    ,6,      ,          ,     ,      ,,10.72411571,1.74653315,23.17979646
WISE J055105.96-123913.5   ,,                   ,5,51,6,-12,39,14,25.5,3.1,L8  ,     ,     ,     ,     ,     ,16.52,15.52,     ,14.71,13.87,13.4,11.98,    ,    ,    ,      ,          ,2015,      ,,7.44211459,1.278789169,24.35630573
WISE J085039.11-061023.7   ,,                   ,8,50,39.1,-6,10,24,25.5,4.5,L6.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,7.591582941,0.331455669,24.34148733
2MASS J10384085-6511463    ,,J10384085-6511463  ,10,38,40.9,-65,11,46,25.48,4.91,L4.5,     ,     ,     ,     ,19.06,15.27,14.38,13.75,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,8.842063711,0.424714776,23.89284258
WISEPA J030724.57+290447.6 ,,                   ,3,7,24.6,29,4,48,25.4,    ,T6.5,     ,     ,     ,     ,     ,17.78,17.7,18.08,18.08,17.44,14.88,12.39,975,    ,    ,      ,          ,2011,      ,,11.98044801,0.209119498,22.39609641
DENIS-P J0627401-391933    ,,                   ,6,27,40.2,-39,19,33,25.4,4.8,L1  ,     ,     ,     ,     ,17.5,14.09,     ,     ,12.91,     ,     ,     ,    ,    ,    ,      ,          ,2011,      ,,9.924024829,0.824622873,23.36650869
SDSSp J125737.26-011336.1  ,,J12573726-0113360  ,12,57,37.3,-1,13,36,25.4,4.9,L4  ,     ,22.94,     ,20.76,     ,15.94,14.72,14.12,14.06,13.49,13.18,11.86,    ,    ,    ,      ,          ,2002,      ,,6.817268512,0.38711256,24.46497484
2MASSW J0208183+254253     ,,J02081833+2542533  ,2,8,18.3,25,42,53,25.3,1.7,L1  ,     ,     ,     ,     ,17.7,13.99,13.11,12.59,      ,12.19,11.92,11.33,    ,    ,    ,      ,          ,2000,      ,,11.64949751,2.159106743,22.35436122
WISE J034909.44+151436.0   ,,                   ,3,49,9.4,15,14,36,25.2,3,L7  ,     ,     ,     ,     ,     ,17.29,16.04,     ,14.9,13.85,13.21,12.07,    ,    ,8,      ,          ,2015,      ,,7.651873235,0.468008616,24.00562026
2MASS J06362726-1226531    ,,J06362726-1226531  ,6,36,27.3,-12,26,53,25.17,4.94,L4.5,     ,     ,     ,     ,     ,15.33,14.37,13.63,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,8.915769601,1.015823633,23.51608077
2MASS J12154432-3420591    ,,J12154432-3420591  ,12,15,44.3,-34,20,59,25.13,5.62,T4.5,     ,     ,     ,     ,     ,16.24,15.81,16.32,      ,16.01,14.38,12.33,    ,    ,    ,      ,          ,2002,      ,,11.00002945,0.962377876,22.57410199
SDSS J092933.56+342952.4   ,,J09293364+3429527  ,9,29,33.6,34,29,53,25.1,5.2,L8  ,     ,     ,     ,     ,     ,16.6,15.44,14.64,      ,13.87,13.25,12.09,    ,    ,    ,      ,          ,2000,      ,,9.572705738,1.217801984,23.17089258
SDSS J110009.62+495746.5   ,,J11000965+4957470  ,11,0,9.7,49,57,47,25.1,4.8,L3.5,     ,     ,     ,20.09,     ,15.28,14.19,13.47,      ,12.96,12.61,12.17,    ,    ,    ,      ,          ,2002,      ,,12.14898316,3.08544866,21.74608505
SSSPM J0124-4240           ,,J01235905-4240073  ,1,23,59.1,-42,40,7,25,2,L2.5,     ,     ,     ,     ,     ,13.15,12.47,12.04,      ,     ,     ,     ,    ,    ,    ,      ,          ,1999,      ,,10.01540704,1.765986484,22.83797087
WISE J023038.90-022554.0   ,,                   ,2,30,38.9,-2,25,54,25,2,L8  ,     ,     ,     ,     ,     ,16.68,15.72,14.93,      ,14.23,13.63,11.85,    ,    ,    ,      ,          ,2013,      ,,9.445233883,1.034421346,23.12396007
WISEP J023318.05+303030.5  ,,                   ,2,33,18.1,30,30,31,25,  ? ,T6  ,     ,     ,     ,     ,     ,16.85,17.18,17.04,      ,16.59,14.46,12.25,    ,    ,    ,      ,          ,2013,      ,,9.15437113,1.205195823,23.23241254
2MASS J03101401-2756452    ,,J03101401-2756452  ,3,10,14,-27,56,45,25,2,L5  ,     ,     ,     ,     ,     ,15.8,14.66,13.96,      ,13.18,12.82,12.34,    ,    ,    ,      ,          ,2003,      ,,11.17890564,2.787214218,22.18701209
2MASSW J0310599+164816 B   ,x,J03105986+1648155  ,3,10,59.9,16,48,16,25,4,L9  ,     ,     ,     ,     ,     ,16.83,15.71,15.06,      ,     ,     ,     ,    ,    ,22,5.2,72,2010,      ,,11.19686488,2.379967101,22.22534529
2MASS J03202839-0446358 B  ,x,J03202839-0446358  ,3,20,28.4,-4,46,36,25,3,T5  ,     ,     ,     ,     ,     ,13.26,12.54,12.13,      ,     ,     ,     ,1900,    ,71,8.3,0.676,2008,      ,,10.30747418,2.097079323,22.67946724
WISEP J062905.13+241804.9  ,,                   ,6,29,5.1,24,18,5,25,  ? ,T2  ,     ,     ,     ,     ,     ,16.39,15.58,15.09,      ,14.36,13.63,11.83,    ,    ,    ,      ,          ,2013,      ,,9.629446512,0.757853876,23.05860831
2MASS J07231462+5727081    ,,J07231462+5727081  ,7,23,14.6,57,27,8,25,3,L1  ,     ,     ,     ,     ,     ,13.97,13.16,12.61,      ,12.29,12.05,11.67,    ,    ,    ,      ,          ,2008,      ,,10.17275904,1.204025376,22.80494018
SDSS J080959.01+443422.2   ,,J08095903+4434216  ,8,9,59,44,34,22,25,5,L6  ,     ,     ,     ,     ,     ,16.44,15.18,14.42,      ,13.34,12.8,11.6,    ,    ,    ,      ,          ,1999,      ,,11.41851247,1.706508123,22.17443129
SDSS J085938.50+634133.5   ,,J08593854+6341355  ,8,59,38.5,63,41,36,25,3,L0  ,     ,     ,     ,17.95,     ,13.7,12.89,12.39,      ,12,11.75,11.43,    ,    ,    ,      ,          ,2006,      ,,6.40435769,1.158096527,24.1379994
ULAS J0954+0623            ,,                   ,9,54,30.2,6,23,14,25,  ? ,T5.5,     ,     ,     ,     ,     ,16.59,16.89,     ,17.17,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,7.012261909,0.706097646,23.98602946
CFBDS J102841+565401       ,,                   ,10,28,41,56,54,2,25,6,T8  ,     ,     ,     ,29.16,     ,18.2,18.38,18.85,      ,     ,     ,     ,675,    ,    ,      ,          ,2010,      ,,9.431619084,2.264331406,23.04164414
WISE J113949.24-332425.1   ,,                   ,11,39,49.2,-33,24,25,25,2,T7  ,     ,     ,     ,     ,     ,17.97,17.94,     ,      ,17.98,14.83,12.87,    ,    ,    ,      ,          ,2013,      ,,8.522010151,0.89569936,23.48559272
2MASS J12321827-0951502    ,,J12321827-0951502  ,12,32,18.3,-9,51,50,25,2,L0  ,     ,     ,     ,     ,     ,13.73,13.07,12.55,      ,     ,     ,     ,    ,    ,    ,      ,          ,2002,      ,,9.104146435,2.060058017,23.19203912
SDSS J141224.49+163311.1   ,,J14122449+1633115  ,14,12,24.5,16,33,12,25,2,L0.5,     ,     ,     ,     ,17.6,13.89,13.15,12.52,      ,12.17,11.9,11.43,    ,    ,    ,      ,          ,2000,      ,,11.19301365,1.622909742,22.2953495
SDSS J151506.11+443648.3   ,,J15150607+4436483  ,15,15,6.1,44,36,48,25,1,L7.5,     ,     ,     ,     ,     ,16.58,15.64,14.76,      ,13.98,13.47,12.33,    ,    ,    ,      ,          ,2002,      ,,10.91125953,1.728173733,22.42672136
SDSS J163030.53+434404.0   ,,J16303054+4344032  ,16,30,30.5,43,44,3,25,1,L7  ,     ,     ,     ,     ,     ,16.63,15.44,14.65,      ,     ,     ,     ,    ,    ,    ,      ,          ,2004,      ,,9.341000028,1.815706473,23.11815149
DENIS-P J2045024?633206    ,,J20450238-6332066  ,20,45,2.4,-63,32,7,25,2.31,L1  ,     ,     ,     ,     ,16.05,12.62,11.81,11.21,      ,10.74,10.36,9.86,2150,1,    ,      ,          ,2009,      ,,7.95368929,1.117818132,23.67465542
2MASSW J2130446-084520     ,,J21304464-0845205  ,21,30,44.6,-8,45,21,25,2,L1.5,     ,     ,     ,     ,     ,14.14,13.33,12.82,      ,     ,     ,     ,    ,    ,    ,      ,          ,2002,      ,,9.309734289,1.851821287,23.12789669
2MASS J21574904-5534420    ,,J21574904-5534420  ,21,57,49,-55,34,42,25,2,L0  ,     ,     ,     ,     ,     ,14.26,13.44,13,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,6.626632263,0.990356827,24.08540924
2MASS J21580457-1550098    ,,J21580457-1550098  ,21,58,4.6,-15,50,10,25,5,L4  ,     ,     ,     ,     ,18.8,15.04,13.87,13.19,      ,12.57,12.23,11.66,    ,    ,    ,      ,          ,2003,      ,,6.514725774,1.444279933,24.09299491
2MASS J22490917+3205489    ,,J22490917+3205489  ,22,49,9.2,32,5,49,25,  ? ,L5  ,     ,     ,     ,     ,     ,15.48,14.35,13.59,      ,     ,     ,     ,    ,    ,    ,      ,          ,2007,      ,,7.603865985,0.165916946,23.81498884
2MASS J23072655+8753294    ,,J23072655+8753294  ,23,7,26.6,87,53,29,25,  ? ,L3  ,     ,     ,     ,     ,     ,14.69,13.84,13.17,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,11.47650117,2.702357309,22.04511706
2MASS J23174712-4838501    ,,J23174712-4838501  ,23,17,47.1,-48,38,50,25,  ? ,L4  ,     ,     ,     ,     ,     ,15.15,13.93,13.18,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,10.63604563,1.779863625,22.55452546
SDSS J083204.51-012836.0   ,,J08320451-0128360  ,8,32,4.6,-1,28,36,24.9,1.8,L1.5,     ,     ,     ,     ,17.9,14.13,13.32,12.71,      ,12.41,12.16,11.63,    ,    ,    ,      ,          ,2000,      ,,9.250510877,1.135819916,23.089997
2MASS J16114212-3811109    ,,J16114212-3811109  ,16,11,42.1,-38,11,11,24.85,5,L5  ,     ,     ,21.12,     ,19.23,15.39,14.71,14.16,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,11.29745121,0.542655495,22.12680775
WISEA J040443.50-642030.0  ,,                   ,4,4,43.5,-64,20,30,24.8,0.7,T9  ,     ,     ,     ,     ,     ,19.65,19.97,     ,      ,18.44,15.73,12.98,575,    ,    ,      ,          ,2015,      ,,11.90911152,1.041912251,21.72849469
DENIS-P J2013108?124244    ,,J20131084-1242452  ,20,13,10.8,-12,42,45,24.8,5.1,L1.5,     ,     ,     ,     ,18.07,14.67,13.87,     ,13.3,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,10.95841976,2.031023053,22.15463793
DENIS-P J0605019-234227    ,,J06050196-2342270  ,6,5,2,-23,42,27,24.7,4.4,L0  ,     ,     ,     ,     ,17.89,14.51,13.73,13.15,13.03,     ,     ,     ,    ,    ,    ,      ,          ,2004,      ,,11.67838682,2.16446106,21.65687857
WISE J001643.96+230426.7 A ,x,J00164364+2304262 A,0,16,44,23,4,27,24.7,2.5,T0  ,     ,     ,     ,     ,     ,16.58,15.72,14.97,15.24,14.29,13.65,12.2,    ,    ,    ,      ,          ,2015,      ,,10.75503814,0.187729889,22.2347456
WISE J001643.96+230426.7 B ,x,J00164364+2304262 B,0,16,44,23,4,27,24.7,2.5,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,,10.75503814,0.187729889,22.2347456
WISE J020615.62+205435.3   ,,                   ,2,6,15.6,20,54,35,24.7,2.3,T5.5,     ,     ,     ,     ,     ,16.73,17.02,     ,16.79,16.6,14.7,12.28,    ,    ,    ,      ,          ,2015,      ,,11.43622567,2.745594867,21.7201393
DENIS-P J1234018?112407    ,,J12340183-1124078  ,12,34,1.8,-11,24,8,24.6,4.9,L2  ,     ,     ,     ,     ,18.22,14.86,13.99,13.7,13.4,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,8.963560237,0.942108144,22.88945216
ULAS J123828.51+095351.3   ,,                   ,12,38,28.5,9,53,51,24.6,    ,T8.5,     ,     ,     ,     ,     ,18.95,19.2,     ,19,17.81,15.21,12.45,600,    ,8,      ,          ,2008,      ,,8.339257891,1.963634577,23.05994183
WISE J132839.25-034558.2   ,,                   ,13,28,39.3,-3,45,58,24.6,2.2,T4.5,     ,     ,     ,     ,     ,16.94,16.69,     ,16.7,15.74,14.45,12.82,    ,    ,    ,      ,          ,2015,      ,,9.363782036,1.862572052,22.67179771
PSO J318.5338-22.8603      ,,J21140802-2251358  ,21,14,8,-22,51,36,24.57,1.45,L7  ,     ,     ,     ,     ,     ,16.71,15.72,14.74,14.41,13.22,12.46,11.8,1160,1.53,7,      ,          ,2013,      ,,10.68027736,2.416700033,21.9949116
DENIS-P J0436205-421851    ,,J04362054-4218523  ,4,36,20.5,-42,18,52,24.5,4.7,L0  ,     ,     ,     ,     ,18,14.49,13.65,13.14,13.15,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,8.71894561,0.686195901,22.88578429
SDSS J134148.85+551046.2   ,,                   ,13,41,48.9,55,10,46,24.5,4.7,L1  ,     ,     ,     ,19.74,     ,15.21,14.39,14.04,      ,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,8.189106141,0.357544096,23.08810739
WISE J084254.56-061023.7   ,,                   ,8,42,54.6,-6,10,24,24.5,4.5,T2.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,,8.078806827,0.352728324,23.12700722
DENIS-P J0716478-063037    ,,J07164790-0630369  ,7,16,47.9,-6,30,37,24.44,0.09,L1  ,     ,     ,     ,     ,17.48,13.9,13.07,12.57,      ,     ,     ,     ,    ,    ,79,      ,          ,2002,      ,,10.54620529,1.388434267,22.00371342
ULAS J101721.40+011817.9   ,,                   ,10,17,21.4,1,18,18,24.4,    ,T8  ,     ,     ,     ,     ,     ,18.53,19.07,19.01,      ,     ,     ,     ,775,    ,10,      ,          ,2008,      ,,10.53367743,0.829018393,21.99350741
SDSS J134845.94+035354.2   ,,J13484591+0353545  ,13,48,45.9,3,53,55,24.4,4.7,L0  ,     ,     ,     ,19.05,     ,14.63,13.76,13.23,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,7.263855616,1.710410955,23.23081781
HD 18757 B                 ,x,J03040962+6142212 B,3,4,9.6,61,42,21,24.23,0.34,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,35,22.2,109,2015, UNCON,,11.53568365,2.13801259,21.20023125
SDSS J152103.24+013142.7   ,,J15210327+0131426  ,15,21,3.2,1,31,43,24.21,4.22,T2  ,     ,     ,     ,     ,     ,16.4,15.58,15.35,      ,14.92,13.95,12.18,    ,    ,    ,      ,          ,2004,      ,,10.0381013,1.36612563,21.98850434
2MASS J21522609+0937575 A  ,x,J21522609+0937575  ,21,52,26.1,9,37,58,24.2,5,L6  ,     ,     ,     ,     ,     ,15.19,14.08,13.34,      ,     ,     ,     ,    ,    ,79,      ,          ,2006,      ,,6.940022386,1.130254418,23.15596282
2MASS J21522609+0937575 B  ,x,J21522609+0937575  ,21,52,26.1,9,37,58,24.2,5,L6  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,79,6,56,2008,      ,,6.940022386,1.130254418,23.15596282
SDSS J124646.83+402714.6   ,,J12464678+4027150  ,12,46,46.8,40,27,15,24.1,2.5,L4  ,22.3,     ,     ,     ,     ,15.09,13.94,13.28,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,7.516748578,0.889665822,22.88049356
2MASS J06272161-5308428    ,,J06272161-5308428  ,6,27,21.6,-53,8,43,24.1,2.2,L0  ,     ,     ,     ,     ,     ,16.39,     ,     ,      ,     ,     ,     ,1500,1.35,9,      ,          ,     ,      ,,9.472759214,0.330796041,22.15778434
WISE J182717.60+222616.9   ,,                   ,18,27,17.6,22,26,17,24.1,2.9,L9  ,     ,     ,     ,     ,     ,16.48,15.62,     ,14.82,14.01,13.43,12.09,    ,    ,    ,      ,          ,2015,      ,P,9.424007508,1.073730028,22.15502621
2MASS J17202722-1259446    ,,J17202722-1259446  ,17,20,27.2,-12,59,45,24.03,4.28,L4.5,     ,     ,     ,     ,19.04,15.23,14.59,14.06,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,9.779172856,2.574641349,21.79862152
2MASS J01410321+1804502    ,,J01410321+1804502  ,1,41,3.2,18,4,50,24,2,L1  ,     ,     ,     ,     ,     ,13.88,13.03,12.49,      ,     ,     ,     ,2200,0.28,    ,      ,          ,2000,      ,,8.103510102,0.141447295,22.59011104
2MASSW J0208236+273740     ,,J02082363+2737400  ,2,8,23.6,27,37,40,24,2,L5  ,     ,     ,     ,     ,     ,15.71,14.56,13.87,      ,13.27,12.96,12.07,    ,    ,    ,      ,          ,2000,      ,,11.08488959,1.805288908,21.21004844
ULAS J032920.22+043024.5   ,,                   ,3,29,20.2,4,30,25,24,  ? ,T7  ,     ,     ,     ,     ,     ,17.5,17.88,     ,18.17,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,9.169417737,1.207176747,22.14643318
WISEP J033651.90+282628.8  ,,                   ,3,36,51.9,28,26,29,24,  ? ,T5  ,     ,     ,     ,     ,     ,16.54,16.28,15.77,      ,16.01,14.44,12.47,    ,    ,    ,      ,          ,2013,      ,,8.461460213,0.964061616,22.43823247
2MASS J03582255-4116060    ,,J03582255-4116060  ,3,58,22.6,-41,16,6,24,2,L5  ,     ,     ,     ,     ,     ,15.85,14.61,13.84,      ,12.9,12.43,11.66,    ,    ,    ,      ,          ,2007,      ,,6.360171625,0.444746525,23.13764071
2MASSI J0408290-145033     ,,J04082905-1450334  ,4,8,29.1,-14,50,33,24,2,L2  ,     ,     ,     ,     ,     ,14.22,13.34,12.82,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,10.95643138,2.428982359,21.21453879
2MASSI J0443058-320209     ,,J04430581-3202090  ,4,43,5.8,-32,2,9,24,2,L5  ,     ,     ,     ,     ,     ,15.27,14.35,13.88,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,7.902716932,0.068965966,22.6614719
WISEP J051208.66-300404.4  ,,                   ,5,12,8.7,-30,4,4,24,  ? ,T8.5,     ,     ,     ,     ,     ,19.21,19.66,     ,      ,18.24,15.24,12.53,    ,    ,    ,      ,          ,2013,      ,,10.88058303,0.189921283,21.39104586
WISEP J073347.94+754439.2  ,,                   ,7,33,47.9,75,44,39,24,    ,T6  ,     ,     ,     ,     ,     ,17.2,17.75,15.81,      ,17.16,14.77,12.2,975,    ,    ,      ,          ,2013,      ,,8.653706262,1.682110098,22.32227304
SDSS J083558.28+054830.7   ,,J08355829+0548308  ,8,35,58.3,5,48,31,24,4,L2  ,     ,     ,     ,     ,     ,14.53,13.68,13.17,      ,12.72,12.39,12,    ,    ,    ,      ,          ,2000,      ,,8.415591394,1.788789171,22.40486677
WISEP J092055.41+453856.4  ,,J09205549+4539058  ,9,20,55.5,45,39,6,24,    ,L4.5,     ,     ,     ,     ,     ,15.22,14.16,13.73,      ,13.06,12.39,11.06,1700,    ,    ,      ,          ,2011,      ,,9.909732372,1.702803453,21.79214686
2MASSW J1326201-272937     ,,J13262009-2729370  ,13,26,20.1,-27,29,37,24,2,L5  ,     ,     ,     ,     ,     ,15.85,14.74,13.85,      ,12.86,12.33,11.28,    ,    ,    ,      ,          ,2002,      ,,9.461540791,1.203660017,22.02340683
WISEP J133750.46+263648.6  ,,                   ,13,37,50.5,26,36,49,24,  ? ,T5  ,     ,     ,     ,     ,     ,16.67,16.12,16.97,      ,16.31,14.62,12.22,    ,    ,    ,      ,          ,2013,      ,,8.316835357,1.317257313,22.47432052
2MASS J13411160-3052505    ,,J13411160-3052505  ,13,41,11.6,-30,52,51,24,2,L2  ,     ,     ,     ,     ,     ,14.61,13.73,13.08,      ,12.74,12.39,11.95,    ,    ,    ,      ,          ,2004,      ,,7.883573112,1.820066264,22.59505773
2MASS J14090310-3357565    ,,J14090310-3357565  ,14,9,3.1,-33,57,57,24,2,L2  ,     ,     ,     ,     ,     ,14.25,13.42,12.87,      ,12.57,12.28,12,    ,    ,    ,      ,          ,2003,      ,,10.82627045,2.749522427,21.24222198
SDSS J161544.16+355858.3   ,,J16154416+3559005  ,16,15,44.2,35,59,1,24,2.2,L3  ,     ,     ,     ,19.2,     ,14.54,13.52,12.94,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,10.19816272,2.684952175,21.55895426
SDSS J171714.10+652622.2   ,,J17171408+6526221  ,17,17,14.1,65,26,22,24,5,L4  ,     ,22.54,     ,20.21,     ,14.95,13.84,13.18,      ,12.54,12.21,11.55,    ,    ,    ,      ,          ,2000,      ,,10.33763356,1.177824568,21.6274377
WISEP J173421.02+502349.9  ,,                   ,17,34,21,50,23,50,24,  ? ,T4  ,     ,     ,     ,     ,     ,16.34,15.85,15.37,      ,15.41,14.34,13.48,    ,    ,    ,      ,          ,2013,      ,,8.717832184,0.877839542,22.34342856
WISE J233527.07+451140.9   ,,                   ,23,35,27.1,45,11,41,24,2,L9  ,     ,     ,     ,     ,     ,16.7,15.26,14.46,      ,13.48,12.93,12.72,    ,    ,    ,      ,          ,2013,      ,,8.644447013,0.415222566,22.38528816
WISE J233432.53+131315.3   ,,                   ,23,34,32.5,13,13,15,24,2.9,L8  ,     ,     ,     ,     ,     ,16.6,15.58,     ,14.66,13.78,13.26,12.4,    ,    ,    ,      ,          ,2015,      ,,8.729166669,0.495678005,22.35074837
SDSS J145255.58+272324.4   ,,                   ,14,52,55.6,27,23,24,23.9,4.5,L0  ,     ,     ,     ,19.21,     ,14.92,14.36,14.08,      ,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,6.860520295,0.690818069,22.88375038
WISE J044130.52+044359.9   ,,                   ,4,41,30.5,4,43,60,23.9,2.3,T4.5,     ,     ,     ,     ,     ,16.39,16.46,     ,16.38,15.74,14.4,12.35,    ,    ,    ,      ,          ,2015,      ,,7.885438973,1.497097366,22.51196463
WISE J085512.39-023356.8   ,x,                   ,8,55,12.4,-2,33,57,23.8,2.4,T0  ,     ,     ,     ,     ,     ,16,15.29,     ,14.77,14.17,13.57,12.69,    ,    ,    ,      ,          ,2015,      ,,6.570615706,0.952693937,22.85518286
WISE J085512.39-023356.8 B ,x,                   ,8,55,12.4,-2,33,57,23.8,2.4,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,,6.570615706,0.952693937,22.85518286
WISE J120035.41-283657.6   ,x,                   ,12,0,35.4,-28,36,58,23.8,2.4,T0  ,     ,     ,     ,     ,     ,15.96,15.15,     ,14.75,14.24,13.56,12.4,    ,    ,    ,      ,          ,2015,      ,,11.70104445,1.853263376,20.64197117
WISE J120035.41-283657.6 B ,x,                   ,12,0,35.4,-28,36,58,23.8,2.4,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,,11.70104445,1.853263376,20.64197117
WISE J184111.36+631535.6   ,,                   ,18,41,11.4,63,15,36,23.8,2.4,L9.5,     ,     ,     ,     ,     ,16.02,15.43,     ,14.82,14.13,13.49,12.39,    ,    ,    ,      ,          ,2015,      ,,8.006665165,0.524784561,22.40664888
2MASS J11224462-6533161    ,,J11224462-6533161  ,11,22,44.6,-65,33,16,23.75,8.7,L0  ,     ,     ,     ,     ,     ,13.59,12.87,12.39,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,9.677620554,1.4031882,21.64341062
2MASS J14044941-3159329 A  ,x,J14044941-3159329  ,14,4,49.4,-31,59,33,23.75,0.62,T1  ,     ,     ,     ,     ,     ,16.63,15.49,14.85,      ,13.82,12.91,11.64,    ,    ,42,      ,          ,2007,      ,,11.06255179,2.912526824,20.81344843
2MASS J14044941-3159329 B  ,x,J14044941-3159329  ,14,4,49.4,-31,59,33,23.75,0.62,T5  ,     ,     ,     ,     ,     ,16.1,15.97,16.05,      ,     ,     ,     ,    ,    ,31,3.1,32,     ,      ,,11.06255179,2.912526824,20.81344843
WISEP J013525.64+171503.4  ,,                   ,1,35,25.6,17,15,3,23.7,    ,T6  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,17.19,14.74,12.73,975,    ,    ,      ,          ,2013,      ,,8.530341361,0.559108112,22.10453968
SDSS J140023.12+433822.3   ,,J14002320+4338222  ,14,0,23.2,43,38,22,23.7,1.1,L7  ,     ,     ,     ,     ,     ,16.3,15.09,14.49,      ,     ,     ,     ,    ,    ,    ,      ,          ,2005,      ,,11.65331422,1.950096005,20.5447656
2MASS J05325346+8246465    ,,J05325346+8246465  ,5,32,53.5,82,46,47,23.65,0.98,L7  ,     ,     ,     ,     ,     ,15.18,14.9,14.92,      ,13.82,13.26,     ,    ,    ,70,      ,          ,2002,      ,,8.597923801,1.749267368,21.96220094
2MASS J10402016-6716461    ,,J10402016-6716461  ,10,40,20.2,-67,16,46,23.65,4.62,L5  ,     ,     ,     ,     ,19.28,15.41,14.69,14,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,8.03649703,0.561966617,22.23558879
DENIS-P J0419556-402534    ,,J04195568-4025344  ,4,19,55.7,-40,25,34,23.6,4.3,L1  ,     ,     ,     ,     ,17.34,13.93,13.38,     ,12.73,     ,     ,     ,    ,    ,    ,      ,          ,2011,      ,,9.921158299,1.086543546,21.38574388
2MASS J12392727+5515371 A  ,x,J12392727+5515371  ,12,39,27.3,55,15,37,23.58,1.17,L5  ,     ,     ,     ,19.64,18.6,14.71,13.57,12.79,      ,     ,     ,     ,    ,    ,74,      ,          ,2000,      ,,8.100123784,0.530910162,22.1387111
