DESIGNATION            ,M?,2MASS_NUMBER,RA_h,RA_m,RA_s,DEC_d, DEC_'," DEC_""",DIST,+/-0,SPEC,V,r,R, I,I,J,H,Ks,K,W1,W2,W3,Teff,RAD,MASS,a,PER,DISC,STAT ,PM?,x,y,z
GD 165 B                   ,x,J14243909+0917104  ,14,24,39.1,9,17,10,31.55,2.49,L4  ,     ,     ,     ,     ,19.16,15.69,14.78,14.17,      ,13.21,13.01,12.47,1900,0.86,75,120,          ,1988,      ,,12.71547329,0.94492289,28.85873108
SDSS J133849.45+043731.2   ,,J13384944+0437315  ,13,38,49.4,4,37,32,31.5,6,L1  ,     ,     ,     ,18.53,     ,14.16,13.25,12.74,      ,     ,     ,     ,    ,    ,    ,      ,          ,2007,      ,,10.78339437,1.756187294,29.54461392
AE For C                   ,x,J03080663-2445347  ,3,8,6.7,-24,45,35,31.45,1.94,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,55,3.7,          ,2012, UNCON,,14.4679059,2.877845414,27.77589251
SDSS J100435.88+565757.4   ,,J10043591+5657572  ,10,4,35.9,56,57,57,31.3,6.1,L0  ,     ,23.64,     ,20.82,     ,16.67,15.81,15.43,      ,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,14.63831325,3.717657964,27.41512
2MASS J02103857-3015313    ,,J02103857-3015313  ,2,10,38.6,-30,15,31,31.3,7.8,L0  ,     ,     ,     ,     ,     ,15.07,14.16,13.5,      ,13,12.65,11.93,1700,1.62,14,      ,          ,     ,      ,,14.34396338,0.940153031,27.80389949
WISE J034011.81-211013.2   ,,                   ,3,40,11.8,-21,10,13,31.3,3.3,T2  ,     ,     ,     ,     ,     ,16.95,16.29,     ,16.12,15.53,14.5,12.5,    ,    ,    ,      ,          ,2015,      ,,10.66982221,0.465854498,29.42155457
WISE J074838.58+174333.0   ,,J07483864+1743329  ,7,48,38.6,17,43,33,31.3,3.8,L5  ,     ,     ,     ,     ,     ,16.16,15.26,     ,14.5,13.74,13.32,12.55,    ,    ,    ,      ,          ,2009,      ,,9.420356145,1.788510497,29.79510229
DENIS-P J0608528?275358    ,,J06085283-2753583  ,6,8,52.8,-27,53,58,31.25,3.52,M9.5,     ,     ,     ,     ,17.01,13.6,12.9,12.37,12.21,     ,     ,     ,2529,    ,18,      ,          ,2003,      ,,14.17720304,3.338288186,27.64824128
WISEP J003830.54+840517.7  ,,                   ,0,38,30.5,84,5,18,31.2,    ,T6  ,     ,     ,     ,     ,     ,17.53,17.06,16.5,      ,17.53,15.34,13.18,975,    ,    ,      ,          ,2013,      ,,10.85903882,0.23694507,29.24833556
2MASS J08063490-4320470    ,,J08063490-4320470  ,8,6,34.9,-43,20,47,31.2,7.08,L3.5,     ,     ,     ,     ,18.66,15.39,14.55,14.11,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,14.76132991,1.291449026,27.45678966
ULAS J090521.61+100654.9 A ,x,                   ,9,5,21.6,10,6,55,31.2,3.3,T0  ,     ,23.86,     ,23.33,     ,17.08,16.39,     ,16.07,15.19,14.33,12.4,    ,    ,    ,      ,          ,2015,      ,,14.95873599,0.391708287,27.37741373
ULAS J090521.61+100654.9 B ,x,                   ,9,5,21.6,10,6,55,31.2,3.3,T2  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,,14.95873599,0.391708287,27.37741373
2MASSI J0239424-173547     ,,J02394245-1735471  ,2,39,42.5,-17,35,47,31.15,4.56,L0  ,     ,     ,     ,     ,     ,14.29,13.53,13.04,      ,12.71,12.43,11.83,2300,1,    ,      ,          ,2003,      ,,10.56674162,1.626377088,29.25784287
SDSS J015354.23+140452.8   ,,J01535422+1404532  ,1,53,54.2,14,4,53,31.1,5.9,L0  ,     ,21.76,     ,19.25,     ,15.21,14.48,13.96,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,8.844106646,0.154374456,29.8155655
2MASS J00165953-4056541    ,,J00165953-4056541  ,0,16,59.5,-40,56,54,31,3,L3.5,     ,     ,     ,     ,     ,15.32,14.21,13.43,      ,     ,     ,     ,    ,    ,    ,      ,          ,2002,"		",,13.06873677,3.258402038,27.9211557
SDSS J004154.54+134135.5   ,x,J00415453+1341351  ,0,41,54.5,13,41,35,31,6,L0  ,     ,21.24,     ,18.78,     ,14.45,13.67,13.24,      ,     ,     ,     ,    ,    ,86,      ,          ,2000, UNCON,,10.19436614,1.843441699,29.21774498
2MASSW J0208549+250048     ,,J02085499+2500488  ,2,8,55,25,0,49,31,3,L5  ,     ,     ,     ,     ,     ,16.21,14.97,14.41,      ,13.66,13.25,11.42,    ,    ,    ,      ,          ,2000,      ,,14.44402468,0,27.42936658
2MASSW J0309088-194938     ,,J03090888-1949387  ,3,9,8.9,-19,49,39,31,3,L4.5,     ,     ,     ,     ,     ,15.75,14.66,14.06,      ,13.38,13.07,12.75,    ,    ,    ,      ,          ,2000,      ,,14.08804772,3.058815003,27.44395311
2MASS J04210718-6306022    ,,J04210718-6306022  ,4,21,7.2,-63,6,2,31,3,L5  ,     ,     ,     ,     ,     ,15.57,14.28,13.45,      ,12.56,12.14,11.6,    ,    ,    ,      ,          ,2002,      ,,12.95926716,0.339350354,28.15923003
WISEP J042417.94+072744.1  ,,                   ,4,24,17.9,7,27,44,31,  ? ,T7.5,     ,     ,     ,     ,     ,18.71,18.76,18.87,      ,18.44,15.33,12.68,    ,    ,    ,      ,          ,2013,      ,,12.48481745,1.477675522,28.33629842
2MASSI J0453264-175154     ,,J04532647-1751543  ,4,53,26.5,-17,51,54,31,6,L3  ,     ,     ,     ,     ,     ,15.14,14.06,13.47,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,8.657978527,1.959100526,29.70187423
DENIS-P J0526434-445544    ,,J05264348-4455455  ,5,26,43.5,-44,55,46,31,2,L1  ,     ,     ,     ,     ,17.62,14.08,13.31,12.71,12.78,     ,     ,     ,    ,    ,    ,      ,          ,2004,      ,,11.91955933,2.916697613,28.4678236
SDSS J082957.04+265509.8   ,,J08295707+2655099  ,8,29,57.1,26,55,10,31,3,L6.5,     ,     ,     ,     ,20.6,17.11,15.81,14.96,      ,13.9,13.39,12.63,    ,    ,    ,      ,          ,2000,      ,,11.52907874,2.82114762,28.637763
SDSS J093113.23+280227.1   ,,                   ,9,31,13.2,28,2,27,31,5.9,L3  ,     ,     ,     ,19.62,     ,14.98,14.26,13.73,      ,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,11.71011372,0.102192614,28.70301018
ULAS J1152+0359            ,,                   ,11,52,29.9,3,59,29,31,  ? ,T6  ,     ,     ,     ,     ,     ,17.28,17.7,     ,17.77,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,8.702485788,2.291173301,29.66508497
DENIS-P J115442.2-340039   ,,J11544223-3400390  ,11,54,42.2,-34,0,39,31,2,L0  ,     ,     ,     ,     ,17.9,14.2,13.33,12.85,      ,12.36,12.05,11.55,    ,    ,    ,      ,          ,2003,      ,,8.713217064,0,29.75029157
2MASS J15302867-8145375    ,,J15302867-8145375  ,15,30,28.7,-81,45,38,31,  ? ,L0  ,     ,     ,     ,     ,     ,14.15,13.6,13.4,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,11.57658612,2.302726152,28.66496304
2MASS J15423630?0045452    ,,J15423630?0045452  ,15,42,36.3,0,45,45,31,  ? ,L7  ,     ,     ,     ,21.87,     ,16.71,15.98,15.41,      ,     ,     ,     ,    ,    ,    ,      ,          ,2011,      ,,10.07348519,2.003740786,29.24910117
WISEP J173035.99+420742.5  ,,                   ,17,30,36,42,7,43,31,  ? ,T0  ,     ,     ,     ,     ,     ,16.95,16,15.65,      ,15.11,14.61,13.47,    ,    ,    ,      ,          ,2013,      ,,11.78266769,0.359993057,28.67122507
SDSS J173101.41+531047.9 A ,x,J17310140+5310476  ,17,31,1.4,53,10,48,31,1,L5  ,     ,     ,     ,     ,     ,16.37,15.48,14.85,      ,     ,     ,     ,    ,    ,    ,      ,          ,2006,      ,,11.72401665,0.511881622,28.69295054
