_RAJ2000,_DEJ2000,Teff,R*,e_R*,M*,e_M*,Dist,HIP
15.8095,20.0984,2969,0.478,0.023,0.535,0.02,26.09619223,4927
16.374,15.3885,3890,0.583,0.089,0.632,0.114,22.97410473,5110
17.067652,54.920339,5316,0.680992,0.0330954,0.752856046,0.0547633,7.552870091,5336
17.3021,-24.6891,3470,0.432,0.013,0.479,0.006,30.43086418,5410
17.4116,-7.1803,3576,0.428,0.068,0.451,0.086,29.74404298,5443
17.5954,-67.445,3419,0.513,0.017,0.57,0.007,9.080355614,5496
17.674624,42.931805,5496,0.934167,0.0870818,1.0147,0.123804,27.0888922,5521
18.600165,-7.922853,6359.8,1.90798,0.178395,1.305373867,0.0913418,24.38429651,5799
18.6425,-53.9421,3669,0.465,0.014,0.52,0.004,27.23171543,5812
18.753594,-68.818914,4945.26,1.15868,0.109428,0.798846,0.0940273,21.11486486,5842
18.796398,-45.531661,6119.03,1.1617,0.0412465,1.204131941,0.0764287,15.05343971,5862
18.941956,-68.875828,6513,NaN ,NaN  ,NaN      ,NaN,20.43318406,5896
19.100788,-12.097037,5432,0.898066,0.0784866,0.944672,0.120441,25.55747237,5938
19.121919,42.939432,5962.88,1.11746,0.0942678,1.17144,0.173622,24.22579368,5944
19.245855,-2.279123,6105.33,1.19475,0.107287,1.12399,0.148187,28.60485539,5985
19.3142,-35.7159,3651,0.487,0.014,0.544,0.003,27.109718,6005
19.3155,-13.2633,3786,0.603,0.018,0.626,0.012,27.66623108,6008
19.4719,5.4739,3767,0.487,0.015,0.544,0.006,29.47304451,6069
19.671281,-0.867592,5299,0.863911,0.102985,0.910982,0.113588,27.6368053,6130
20.020532,58.231606,7341,NaN ,NaN  ,NaN      ,NaN,8.59496,6242
20.3724,24.3306,3928,0.62,0.018,0.641,0.012,31.95743615,6342
20.3941,-41.6564,3871,0.531,0.016,0.586,0.003,25.07101576,6351
20.574436,18.682679,5744.98,1.0756,0.0905334,1.04749,0.124505,26.14426931,6405
20.76099,-12.966055,5224,1.01834,0.0851683,0.906612,0.11257,29.86875668,6456
21.224724,18.499968,5053,0.905919,0.077175,0.838287,0.0991891,31.1626472,6613
21.2575,-32.8511,3944,0.605,0.091,0.656,0.115,21.88327312,6626
21.453829,60.235278,7980,NaN ,NaN  ,NaN      ,NaN,30.47851265,6686
21.5388,-67.8425,3699,0.492,0.083,0.528,0.105,20.22669846,6703
21.563593,19.172384,6817,NaN ,NaN  ,NaN      ,NaN,26.07562033,6706
21.756454,-0.157614,5376,0.924376,0.0791053,0.95602,0.122255,30.5419983,6762
21.914089,45.406734,6534.62,NaN ,NaN  ,NaN      ,NaN,28.30455703,6813
22.270445,21.723158,4820,1.0625,0.150138,0.780838,0.0920858,23.13451245,6917
22.807316,70.26463,6293.9,NaN ,NaN  ,NaN      ,NaN,29.2483194,7078
23.1092,-21.9051,3688,0.488,0.015,0.545,0.004,29.48492314,7170
23.315844,-24.177971,5417,0.874798,0.0758801,0.922671,0.116122,19.28640309,7235
23.361256,-43.901301,5275,1.05542,0.110928,0.898117,0.110678,31.91258505,7254
23.428489,-7.025347,5837,1.99683,0.170434,1.06353,0.126791,29.6647887,7276
23.638342,68.948196,5672,1.00458,0.0859737,0.98,0.124473,20.98635887,7339
23.754346,-29.910326,4867,1.27483,0.196363,0.766641,0.0907081,23.64625156,7372
24.199298,41.405459,NaN,1.56,NaN  ,1.3,NaN,13.46801347,7513
24.3368,-49.1957,3846,0.633,0.019,0.654,0.012,25.47138918,7554
24.397793,-6.760453,5291,0.86633,0.0753048,0.918604,0.115253,23.96104892,7576
24.420321,12.078377,5787,1.12473,0.0954479,1.06446,0.126967,25.25022978,7585
24.481553,-82.97494,5856.35,2.06145,0.181,1.30299,0.255942,27.12967942,7601
24.899841,28.11107,5540.65,1.04777,0.0876218,1.03036,0.123609,31.7644854,7733
24.900058,45.877808,5692.69,1.05989,0.0876161,1.04211,0.124082,20.8462754,7734
25.446504,42.613415,5870,1.18648,0.0582496,1.119485614,0.0760557,12.64382349,7918
25.622193,-53.74087,6218,1.1,NaN  ,1.11,NaN,17.26784675,7978
25.623969,20.268476,5190,0.851989,0.0407431,0.875003028,0.0599105,7.467702188,7981
25.8091,-21.6157,3728,0.702,0.023,0.714,0.016,27.59306856,8038
25.8166,27.8421,3870,0.63,0.018,0.651,0.012,25.94556652,8043
25.8341,4.3217,3486,0.405,0.012,0.444,0.005,19.14810121,8051
26.3259,46.5355,3609,0.582,0.032,0.606,0.028,29.76973714,8190
26.411546,-25.052508,6796,NaN ,NaN  ,NaN      ,NaN,27.4273183,8209
26.93691,63.852557,5344,0.845442,0.0401682,0.918950048,0.0629104,9.976057462,8362
27.173247,32.69016,5980.51,1.7862,0.163604,1.04749,0.124505,27.91409159,8433
27.347239,-10.703511,5757.01,0.986203,0.14528,1.01343,0.123849,23.00437083,8486
27.396233,-10.68642,6342.51,0.975432,0.12208,1.175130023,0.0859086,23.61275089,8497
28.2049,-22.4349,3895,0.619,0.018,0.641,0.012,13.73353872,8768
28.270419,29.578832,6347.6,3.14532,0.268794,1.29775,0.252627,19.65795164,8796
28.660037,20.808067,8318,2.595,0.225633,2.19317,0.405147,18.26817628,8903
28.989451,-51.608871,5227,4.08023,0.497581,0.891244,0.109158,17.8508,9007
29.249919,-51.766314,6272.05,1.27965,0.112689,1.14355,0.158079,26.8673,9085
29.692585,-61.569821,7248.9,3.33104,0.292606,1.35759,0.289449,21.86270223,9236
29.777659,33.209713,5412,1.11039,0.0930665,0.972357,0.124012,24.67216856,9269
29.8025,3.5198,3227,0.678,0.049,0.693,0.04,16.54876978,9275
29.848,58.5211,3253,0.39,0.012,0.422,0.004,15.51080313,9291
30.038135,3.097002,5986,2.0053,0.177546,1.07366,0.128996,31.07520169,9353
31.247196,-15.678107,5300.76,0.907725,0.0851187,0.893445,0.109643,26.78741163,9716
31.2702,-17.6146,3511,0.466,0.015,0.521,0.007,13.76158863,9724
31.626025,24.334003,5700,1.01682,0.0888614,1.05926,0.125997,23.18034307,9829
31.793405,23.462332,4553,13.9,NaN  ,1.5,NaN,20.21018612,9884
32.284314,71.552009,6100.26,1.44493,0.124383,1.53612,0.363348,27.11599681,10031
32.4006,-14.3591,3541,0.478,0.022,0.534,0.019,29.50359923,10072
32.607931,-50.823827,5151,NaN ,NaN  ,0.77,NaN,11.25178626,10138
32.7592,-35.6708,3863,0.655,0.02,0.673,0.013,22.57884667,10191
32.84643,21.377329,5786,1.21861,0.105844,1.20292,0.192481,31.50122225,10218
33.0875,3.5756,3593,0.45,0.013,0.502,0.003,16.70994421,10279
33.178832,-53.743914,5068.41,0.834587,0.0723492,0.853425,0.101596,28.34137756,10301
33.200271,21.211091,6443.13,1.72968,0.163919,1.31130114,0.0906948,30.12955834,10306
33.229174,40.668333,5713.8,0.931164,0.0824892,1.03009,0.123607,24.70850145,10321
33.305617,40.507595,5590.69,0.959436,0.0838732,1.00861,0.124036,25.89378886,10339
33.4734,-32.0412,3618,0.53,0.016,0.586,0.003,17.82173575,10395
33.851727,24.271337,5703.94,1.27764,0.107494,1.10659,0.140284,25.74572492,10505
33.922277,67.677025,6968,0.181064,0.0386375,1.52719,0.361324,20.9205,10529
33.927246,67.672358,5134,0.859371,0.0747489,0.844056,0.100071,18.56551678,10531
34.1717,-30.9884,3443,0.377,0.011,0.405,0.005,23.90672027,10617
34.263339,34.224256,5608.69,1.28586,0.108407,0.994062,0.124506,10.84598698,10644
34.506001,1.757775,6004,1.57093,0.0796986,1.272087116,0.0871499,24.97502498,10723
34.743812,-25.945726,5373,0.790586,0.0682133,0.944672,0.120441,12.67748479,10798
35.506319,-10.777489,6894.45,1.58567,0.13585,1.49659,0.35307,29.86857826,11029
35.561,47.88,3749,0.581,0.018,0.605,0.012,14.95977288,11048
35.635688,-23.816449,5883,1.86128,0.170833,1.04606,0.124377,21.9298253,11072
36.141168,-40.840443,5854,1.68009,0.158116,1.03251,0.12364,31.20124879,11231
36.507373,5.779764,5372.06,0.989739,0.122378,0.962547,0.123083,27.88622421,11349
37.202055,29.931701,5899,2.12206,0.184908,1.22048,0.20338,30.78817777,11548
38.021901,-15.244649,6330.71,2.34437,0.202818,1.1423,0.157419,25.81977795,11783
38.225562,15.034538,5984.67,2.06403,0.184448,1.05447,0.125293,28.70264052,11843
38.544445,42.785229,5661,1.07399,0.0988986,1.06322,0.126734,31.82098785,11949
38.594,-43.7964,3757,0.696,0.02,0.708,0.013,12.00594892,11964
38.9721,20.2199,3632,0.508,0.015,0.566,0.003,27.23955447,12097
39.244131,-34.577994,NaN,NaN ,NaN  ,1.2,NaN,25.53626159,12186
39.890972,-11.872103,6547,NaN ,NaN  ,NaN      ,NaN,27.0343336,12390
40.051725,-9.452914,6300.47,1.1928,0.101937,1.19153,0.185549,21.54243945,12444
40.308256,-0.69563,6250,1.3165,0.123817,1.24301,0.21765,21.62629679,12530
40.562129,40.193946,6103,NaN ,NaN  ,NaN      ,NaN,24.67917078,12623
40.639452,-50.80023,NaN,NaN ,NaN  ,NaN      ,NaN,17.36640544,12653
40.825085,3.235846,8642.66,NaN ,NaN  ,NaN      ,NaN,25.13826043,12706
41.049909,49.228431,6196,2.24794,0.189467,1.88458,0.389701,11.23216893,12777
41.0646,25.5234,3398,0.362,0.012,0.383,0.008,12.50439998,12781
41.089,10.9615,3755,0.52,0.077,0.561,0.099,31.04023496,12787
41.275747,-18.572525,6353.39,1.37407,0.13638,1.18973,0.18446,13.97428731,12843
41.4153,44.9488,3876,0.595,0.018,0.619,0.012,30.95392953,12886
