    DESIGNATION            |M?|   2MASS NUMBER    |    RA h | RA m | RA s    	|    DEC d | DEC ' | DEC "  |DIST |+/-0|SPEC|V    |  r  |R    |i    |I    |   J |H    |Ks   |K     |   W1|  W2 |W3   |Teff|RAD |MASS|  a   |   PER   | DISC|STAT |PM?
                           |  |                   |    	| DEC d  | DEC '| DEC "| pc  |pc  |    |     |     |     |     |     |     |     |     |      |     |     |     |  K |Rj  |Mj  |  AU  |    yr   | PUBL|     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SDSS J163022.92+081822.0   |  |J16302295+0818221  |16 |30| 22.9 | +08|18|22|21.32|4.59|T5.5|     |     |     |     |     |16.40|16.33|16.61|16.41 |16.15|14.35|12.21|    |    |    |      |          | 2002|      |
SDSS J163030.53+434404.0   |  |J16303054+4344032  |16 |30| 30.5 | +43|44| 3|25.00|1.00|L7  |     |     |     |     |     |16.63|15.44|14.65|      |     |     |     |    |    |    |      |          | 2004|      |
SDSS J163041.37+093844.3   |  |J16304139+0938446  |16 |30| 41.4 | +09|38|45|30.50|5.80|L0  |     |     |     |19.49|     |14.87|13.94|13.30|      |     |     |     |    |    |    |      |          | 2003|      |
SDSS J163229.25+190440.3   |  |J16322911+1904407  |16 |32| 29.1 | +19| 4|41|15.24|0.49|L8  |25.14|     |22.67|     |19.98|15.87|14.61|14.00|13.96 |13.14|12.60|11.70|    |    |    |      |          | 1999|      |
DENIS-P J1633131?755322    |  |J16331306-7553232  |16 |33| 13.1 | -75|53|23|19.50|3.30|M9.5|     |     |     |     |16.12|13.15|12.51|     |12.13 |     |     |     |    |    |    |      |          | 2010|      |
SDSS J163359.23-064056.5   |  |J16335933-0640552  |16 |33| 59.3 | -06|40|55|17.70|3.40|L6  |     |     |     |     |     |16.14|15.17|14.54|      |     |     |     |    |    |    |      |          | 2006|      |
2MASSW J1635191+422305     |  |J16351919+4223053  |16 |35| 19.2 | +42|23| 5|12.00|    |L3  |     |19.87|     |16.87|16.50|12.88|12.22|11.79|      |     |     |     |    |    |    |      |          |     |      |
SDSSp J163600.79-003452.6  |  |J16360078-0034525  |16 |36|  0.8 | -00|34|53|23.30|4.40|L0  |     |     |     |18.80|     |14.59|13.90|13.42|      |     |     |     |    |    |    |      |          | 2000|      |
WISEP J163940.83-684738.6  |  |                   |16 |39| 40.8 | -68|47|39| 5.00|0.50|Y0  |     |     |     |     |     |20.63|20.75|     |      |17.27|13.54|11.76| 400|    |    |      |          | 2012|      |
2MASS J16415790-3042028    |  |J16415790-3042028  |16 |41| 57.9 | -30|42| 3|28.89|5.79|L3.5|     |     |     |     |     |15.22|14.42|13.96|      |     |     |     |    |    |    |      |          | 2012|      |
SDSS J164522.06+300406.9   |  |J16452207+3004071  |16 |45| 22.1 | +30| 4| 7|32.00|6.00|L3  |     |     |     |19.77|     |15.19|14.21|13.59|      |     |     |     |    |    |    |      |          | 2000|      |
2MASS J16452211-1319516    |  |J16452211-1319516  |16 |45| 22.1 | -13|19|52| 9.10|0.51|L1.5|     |     |     |     |     |12.45|11.69|11.15|      |     |     |     |2200|0.96|    |      |          | 2002|      |
WISEPA J164715.59+563208.2 |  |                   |16 |47| 15.6 | +56|32| 8| 8.62|2.16|L9  |     |     |     |     |     |16.59|15.34|14.48|      |13.60|13.07|12.20|    |    |    |      |          | 2011|      |
WISEPA J165311.05+444423.9 |  |                   |16 |53| 11.1 | +44|44|24|12.10|    |T8  |     |     |     |     |     |17.59|17.53|     |      |16.58|13.82|12.24| 675|    |    |      |          | 2011|      |
2MASS J16573454+1054233    |  |J16573454+1054233  |16 |57| 34.5 | +10|54|23|23.00|2.00|L2  |     |     |     |     |     |14.15|13.34|12.80|      |     |     |     |    |    |    |      |          | 2008|      |
2MASSW J1658037+702701     |  |J16580380+7027015  |16 |58|  3.8 | +70|27| 2|18.60|0.20|L1  |     |     |     |     |     |13.29|12.47|11.92|      |     |11.39|     |2200|    |    |      |          | 1999|      |
