    DESIGNATION            |M?|   2MASS NUMBER    |    RA h | RA m | RA s    	|    DEC d | DEC ' | DEC "  |DIST |+/-0|SPEC|V    |  r  |R    |i    |I    |   J |H    |Ks   |K     |   W1|  W2 |W3   |Teff|RAD |MASS|  a   |   PER   | DISC|STAT |PM?
                           |  |                   |    	| DEC d  | DEC '| DEC "| pc  |pc  |    |     |     |     |     |     |     |     |     |      |     |     |     |  K |Rj  |Mj  |  AU  |    yr   | PUBL|     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

SDSS J000013.54+255418.6   |  |J00001354+2554180  | 0 | 0| 13.5 | +25|54|19|14.12|0.38|T4.5|     |     |     |     |     |15.06|14.73|14.84|      |     |     |     |    |    |    |      |          | 2004|		|
DENIS-P J0000286?124514    |  |J00002867-1245153  | 0 | 0| 28.7 | -12|45|15|19.20|3.60|M9.5|     |     |18.73|     |16.16|13.20|12.45|     |11.97 |     |     |     |    |    |    |      |          | 2010|		|
SDSS J000112.18+153535.5   |  |J00011217+1535355  | 0 | 1| 12.2 | +15|35|36|29.00|6.00|L4  |     |     |     |     |     |15.52|14.51|13.71|      |     |     |     |    |    |    |      |          | 2004|		|
GJ 1001 B                  | x|J00043484-4044058  | 0 | 4| 34.8 | -40|44| 6|13.01|0.67|L5  |     |     |     |     |16.68|13.11|12.06|11.40|11.40 |     |     |     |1600|0.58|36  |  174 |          | 1999|		|
GJ 1001 C                  | x|J00043484-4044058  | 0 | 4| 34.8 | -40|44| 6|13.01|0.67|L5  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |36  | 0.82 |        4 | 2004|		|
WISEP J000517.48+373720.5  |  |                   | 0 | 5| 17.5 | +37|37|21| 7.10|    |T9  |     |     |     |     |     |18.33|18.10|     |      |16.88|13.27|11.99| 525|    |    |      |          | 2013|		|
SDSS J000649.16-085246.3 B | x|J00064916-0852457  | 0 | 6| 49.2 | -08|52|46|30.00|3.00|T5  |     |20.98|     |18.19|     |14.14|13.55|     |13.13 |     |     |     |    |    |60  |0.286 |    0.404 | 2012|		|
DENIS-P J0006579?643654    |  |J00065794-6436542  | 0 | 6| 57.9 | -64|36|54|20.90|3.80|L0  |     |     |     |     |16.71|13.39|12.66|     |12.17 |     |     |     |    |    |    |      |          | 2010|		|
WISEPC J000849.76-173922.6 |  |                   | 0 | 8| 49.8 | -17|39|23|26.70|    |T6  |     |     |     |     |     |17.03|17.77|17.00|      |16.59|14.54|12.24| 975|    |    |      |          | 2011|		|
2MASS J00100009-2031122    |  |J00100009-2031122  | 0 |10|  0.1 | -20|31|12|30.00|2.00|L0  |     |     |     |     |     |14.13|13.37|12.88|      |     |     |     |    |    |    |      |          | 2007|		|
DENIS-P J0014554?484417    |  |J00145575-4844171  | 0 |14| 55.8 | -48|44|17|21.00|2.00|L2.5|     |     |     |     |17.54|14.05|13.11|12.72|12.58 |12.24|11.99|11.45|    |    |    |      |          | 2000|		|
WISE J001505.87-461517.6   |  |                   | 0 |15|  5.9 | -46|15|18|14.90|    |T8  |     |     |     |     |     |     |     |     |      |17.02|14.25|     | 675|    |    |      |          | 2012|		|
2MASSW J0015447+351603     |  |J00154476+3516026  | 0 |15| 44.8 | +35|16| 3|21.00|2.00|L2  |     |     |     |     |     |13.88|12.89|12.26|      |11.79|11.54|10.91|2200|    |    |      |          | 2000|		|
SDSS J001608.44-004302.3   |  |J00160844-0043021  | 0 |16|  8.4 | -00|43| 2|28.00|  ? |L5.5|     |     |     |     |     |16.33|15.23|14.54|      |     |     |     |    |    |    |      |          | 2004|		|
2MASS J00165953-4056541    |  |J00165953-4056541  | 0 |16| 59.5 | -40|56|54|31.00|3.00|L3.5|     |     |     |     |     |15.32|14.21|13.43|      |     |     |     |    |    |    |      |          | 2002|		|
2MASS J00192626+4614078    |  |J00192626+4614078  | 0 |19| 26.3 | +46|14| 8|19.50|1.60|M8  |20.00|     |     |     |     |12.60|11.94|11.50|11.50 |     |     |     |2600|    |65  |      |          | 2003|		|
2MASS J00194579+5213179    |  |J00194579+5213179  | 0 |19| 45.8 | +52|13|18|18.70|1.20|M9  |     |     |     |     |     |12.79|12.07|11.62|      |     |     |     |    |    |    |      |          | 2003| UNCON|
DENIS-P J002105.8-424442   | x|J00210589-4244433  | 0 |21|  5.9 | -42|44|43|23.00|2.00|M9.5|     |     |     |     |16.79|13.52|12.81|     |12.30 |     |     |     |    |    |84  | 1800 |   170000 |     | UNCON|
2MASS J00242463-0158201    |  |J00242463-0158201  | 0 |24| 24.6 | -01|58|20|11.50|0.50|M9.5|     |     |     |     |     |11.86|11.12|10.58|      |     |     |     |    |    |    |      |          | 2007|      |
LHS 1070 B                 | x|J00244419-2708242  | 0 |24| 44.2 | -27| 8|24| 7.72|0.15|M8.5|15.42|     |13.58|     |11.40|9.25 |8.55 |     |8.24  |     |     |     |    |    |81  | 8.58 |     44.4 |     |      |
LHS 1070 C                 | x|J00244419-2708242  | 0 |24| 44.2 | -27| 8|24| 7.72|0.15|M9  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |74  | 3.53 |    17.24 |     |      |
LP 349-25 A                | x|J00275592+2219328  | 0 |27| 55.9 | +22|19|33|14.37|0.19|M8  |17.56|     |16.00|     |12.40|11.15|10.61|     |10.15 |     |     |     |2780|1.27|68  |      |          | 1995|      |
LP 349-25 B                | x|J00275592+2219328  | 0 |27| 55.9 | +22|19|33|14.37|0.19|M8  |     |     |     |     |     |11.51|10.93|     |10.46 |     |     |     |2640|1.21|59  | 1.86 |     7.31 | 2010|      |
DENIS-P J0028554?192716    |  |J00285545-1927165  | 0 |28| 55.5 | -19|27|17|16.30|3.60|L3  |     |     |     |     |17.61|14.19|13.33|12.85|12.77 |     |     |     |    |    |    |      |          | 2008|      |
DENIS-P J003006.2-373948   | x|J00300625-3739483  | 0 |30|  6.3 | -37|39|48|32.00|  ? |L3  |     |     |     |     |18.36|15.20|14.43|13.89|      |     |     |     |    |    |    |      |          |     |      |
2MASSW J0030300-145033     |  |J00303013-1450333  | 0 |30| 30.1 | -14|50|33|26.72|3.21|L7  |     |     |     |     |18.60|16.28|15.27|14.48|14.51 |     |13.24|     |    |    |    |      |          | 2000|      |
WISE J003110.04+574936.3   |  |J00310928+5749364  | 0 |31|  9.3 | +57|49|36|11.00|1.00|L8  |     |     |     |     |     |14.95|13.78|13.22|      |12.41|11.84|11.30|    |    |    |      |          | 2013|      |
DENIS-P J0031192?384035    |  |J00311925-3840356  | 0 |31| 19.3 | -38|40|36|18.70|3.40|L2  |     |     |     |     |17.62|14.10|13.40|12.92|12.86 |12.43|12.03|11.46|    |    |    |      |          | 2010|      |
WISE J003231.09-494651.4   |  |                   | 0 |32|  1.1 | -49|46|51|19.30|    |T8.5|     |     |     |     |     |     |     |     |      |18.08|15.07|     | 675|    |    |      |          | 2012|      |
2MASS J00320509+0219017    |  |J00320509+0219017  | 0 |32|  5.1 | +02|19| 2|27.00|2.00|L1.5|     |     |     |     |     |14.32|13.39|12.80|      |     |     |     |    |    |    |      |          | 1999|      |
Gl 22 Bb                   | x|J00322979+6714043  | 0 |32| 29.8 | +67|14| 4| 9.80|0.10|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |15  | 3.41 |       15 | 2008|      |
EROS-MP J0032-4405         |  |J00325584-4405058  | 0 |32| 55.8 | -44| 5| 6|26.03|3.25|L0  |     |     |     |     |18.60|14.78|13.86|13.27|      |12.82|12.49|11.73|2000|1.00|    |      |          | 1999|      |
2MASS J00332386-1521309    |  |J00332386-1521309  | 0 |33| 23.9 | -15|21|31|28.00|6.00|L4  |     |     |     |     |18.30|15.29|14.21|13.41|      |     |     |     |    |    |    |      |          | 2003|      |
ULAS J003402.77-005206.7   |  |                   | 0 |34|  2.8 | -00|52| 7|12.82|0.59|T8.5|     |     |     |26.37|     |18.15|18.49|18.48|18.48 |17.32|14.47|11.80| 575|1.04|17  |      |          | 2007|      |
2MASS J00345157+0523050    |  |J00345157+0523050  | 0 |34| 51.6 | +05|23| 5| 9.49|0.67|T6.5|     |     |     |     |     |15.54|15.44|16.24|      |15.06|12.52|     | 840|0.83|49  |      |          | 2000|      |
SDSS J003609.26+241343.3   |  |J00360925+2413434  | 0 |36|  9.3 | +24|13|43|30.30|8.00|L5.5|     |     |     |     |     |17.03|16.11|15.66|      |     |     |     |    |    |    |      |          | 2006|      |
2MASSW J0036159+182110 A   | x|J00361617+1821104  | 0 |36| 16.2 | +18|21|10| 8.76|0.06|L3.5|21.33|     |     |     |16.11|12.47|11.59|11.06|11.03 |     |10.24|     |2000|0.45|    |      |          | 2000|      |
2MASSW J0036159+182110 B   | x|J00361617+1821104  | 0 |36| 16.2 | +18|21|10| 8.76|0.06|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    | 0.78 |          | 2010| UNCON|
WISEP J003829.05+275852.1  |  |                   | 0 |38| 29.1 | +27|58|52|11.30|    |T9  |     |     |     |     |     |18.61|18.92|     |      |18.04|14.38|12.46| 525|    |    |      |          | 2013|      |
WISEP J003830.54+840517.7  |  |                   | 0 |38| 30.5 | +84| 5|18|31.20|    |T6  |     |     |     |     |     |17.53|17.06|16.50|      |17.53|15.34|13.18| 975|    |    |      |          | 2013|      |
54 Psc B                   | x|J00392187+2115024  | 0 |39| 18.9 | +21|15|17|11.06|0.04|T7.5|     |     |     |     |     |16.31|16.72|16.86|      |     |     |     | 825|    |65  |  480 |          | 2006|      |
WISEP J004024.88+090054.8  |  |J00402492+0900547  | 0 |40| 24.9 | +09| 0|55|14.60|    |T7  |     |     |     |     |     |16.50|16.56|15.74|      |16.06|13.92|12.06| 825|    |    |      |          | 2013|      |
2MASS J00413538-5621127 A  | x|J00413538-5621127  | 0 |41| 35.4 | -56|21|13|15.00|1.00|M8  |     |     |     |     |14.69|12.37|11.75|11.32|10.86 |     |     |     |2600|    |30  |      |          | 1995|      |
SDSS J004154.54+134135.5   | x|J00415453+1341351  | 0 |41| 54.5 | +13|41|35|31.00|6.00|L0  |     |21.24|     |18.78|     |14.45|13.67|13.24|      |     |     |     |    |    |86  |      |          | 2000| UNCON|
2MASSW J0045214+163445     |  |J00452143+1634446  | 0 |45| 21.4 | +16|34|45|14.00|1.00|L2  |22.00|     |     |     |     |13.06|12.06|11.37|      |     |     |     |2100|0.37|    |      |          | 2000|      |
WISEP J004542.56+361139.1  |  |                   | 0 |45| 42.6 | +36|11|39|21.00|  ? |T5  |     |     |     |     |     |16.15|16.04|15.80|      |15.34|13.73|12.61|    |    |    |      |          | 2013|      |
SDSS J004648.45+071517.4   |  |J00464841+0715177  | 0 |46| 48.4 | +07|15|18|13.10|2.50|L0  |     |     |     |     |     |13.89|13.18|12.55|      |     |     |     |    |    |    |      |          | 2000|      |
WISEP J004701.06+680352.1  |  |J00470038+6803543  | 0 |47|  1.1 | +68| 3|52|15.00|1.00|L7.5|     |     |     |     |     |15.60|13.97|13.05|      |11.88|11.27|10.33|1350|    |    |      |          | 2012|      |
HD 4747 b                  | x|J00492678-2312447  | 0 |49| 26.8 | -23|12|45|18.69|0.19|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |46  | 9.43 |     31.7 | 2002| UNCON|
WISEPC J004928.48+044100.1 |  |                   | 0 |49| 28.5 | +04|41| 0|19.20|    |L9  |     |     |     |22.30|     |15.85|14.67|14.17|14.13 |13.45|12.94|12.24|    |    |    |      |          | 2010|      |
WISEP J004945.61+215120.0  |  |                   | 0 |49| 45.6 | +21|51|20| 7.40|    |T8.5|     |     |     |     |     |16.72|16.51|15.86|      |15.47|12.97|11.73| 675|    |    |      |          | 2013|      |
2MASS J00501994-3322402    |  |J00501994-3322402  | 0 |50| 19.9 | -33|22|40| 8.00|1.00|T7  |     |     |     |     |     |15.93|15.84|15.24|      |15.51|13.53|11.96| 980|0.95|34  |      |          | 2005|      |
DENIS-P J0050244?153818    |  |J00502444-1538184  | 0 |50| 24.4 | -15|38|18|21.40|3.90|L1  |     |     |     |     |16.86|13.78|13.08|12.65|12.56 |     |     |     |    |    |    |      |          | 2005|      |
DENIS-P J0053189?363110    |  |J00531899-3631102  | 0 |53| 19.0 | -36|31|10|21.00|2.00|L3.5|     |     |     |     |18.10|14.45|13.48|12.94|12.91 |12.31|12.03|11.52|    |    |    |      |          | 2003|      |
DENIS-P J0055005-545026    |  |J00550057-5450262  | 0 |55|  0.6 | -54|50|26|22.10|5.10|L1  |     |     |     |     |16.78|13.96|13.25|     |12.88 |     |     |     |    |    |    |      |          | 2011|      |
CFBDS J005910.90-011401.3  |  |                   | 0 |59| 10.9 | -01|14| 1| 9.89|0.24|T8.5|     |     |     |28.05|     |18.06|18.27|18.63|18.40 |17.00|13.67|12.36| 525|1.00|20  |      |          | 2008|      |
2MASSI J0103320+193536     |  |J01033203+1935361  | 1 | 3| 32.0 | +19|35|36|21.32|3.46|L6  |24.50|     |     |     |     |16.29|14.90|14.15|      |13.18|12.70|12.23|    |    |    |      |          | 2000|      |
SDSS J010752.34+004156.1   |  |J01075242+0041563  | 1 | 7| 52.4 | +00|41|56|15.59|1.10|L8  |     |24.06|     |21.52|     |15.82|14.51|13.71|      |12.69|12.17|11.45|    |    |    |      |          | 2000|      |
SSSPM J0109-5101           |  |J01090150-5100494  | 1 | 9|  1.5 | -51| 0|49|17.30|1.05|L2  |     |     |     |     |     |12.23|11.54|11.09|      |10.83|10.57|10.37|2800|1.00|    |      |          | 2002|      |
SSSPM J0109-4955           |  |J01090918-4954532  | 1 | 9|  9.2 | -49|54|53|20.00|1.00|L1  |     |     |     |     |     |13.55|12.88|12.45|      |     |     |     |    |    |    |      |          | 2005|      |
2MASS J01092170+2949255    |  |J01092170+2949255  | 1 | 9| 21.7 | +29|49|26|18.00|1.00|M9.5|     |     |     |     |     |12.91|12.16|11.68|      |     |     |     |    |    |    |      |          | 2003|      |
LP 647-13                  |  |J01095117-0343264  | 1 | 9| 51.2 | -03|43|26| 9.60|0.20|M9  |19.50|     |     |     |14.77|11.69|10.93|10.43|      |     |     |     |    |    |    |      |          | 1995| UNCON|
DENIS-P J0116529?645557    |  |J01165283-6455570  | 1 |16| 52.8 | -64|55|57|26.70|4.90|L1  |     |     |     |     |17.68|14.45|13.67|     |13.20 |     |     |     |    |    |    |      |          | 2010|      |
SDSS J011912.22+240331.6   |  |J01191207+2403317  | 1 |19| 12.1 | +24| 3|32|31.80|6.60|T2  |     |     |     |     |     |17.02|15.95|17.04|      |     |     |     |    |    |    |      |          | 2006|      |
2MASS J01230050-3610306    |  |J01230050-3610306  | 1 |23|  0.5 | -36|10|31|19.00|  ? |L2  |     |     |17.40|     |     |13.64|13.11|12.19|      |     |     |     |    |    |    |      |          |     |      |
2MASS J01231125-6921379    |  |J01231125-6921379  | 1 |23| 11.3 | -69|21|38|19.00|2.00|M8  |     |     |     |     |     |12.32|11.71|11.32|11.32 |     |     |     |2600|    |65  |      |          | 2007|      |
WISEPA J012333.21+414203.9 |  |                   | 1 |23| 33.2 | +41|42| 4|20.60|    |T7  |     |     |     |     |     |17.38|17.20|18.37|      |17.12|14.85|12.99| 825|    |    |      |          | 2011|      |
SSSPM J0124-4240           |  |J01235905-4240073  | 1 |23| 59.1 | -42|40| 7|25.00|2.00|L2.5|     |     |     |     |     |13.15|12.47|12.04|      |     |     |     |    |    |    |      |          | 1999|      |
DENIS-P J0128266?554534    |  |J01282664-5545343  | 1 |28| 26.6 | -55|45|34|23.00|1.00|L2  |     |     |     |     |17.07|13.78|12.92|12.34|12.34 |11.94|11.69|11.30|    |    |    |      |          | 1997|      |
2MASS J01311838+3801554    |  |J01311838+3801554  | 1 |31| 18.4 | +38| 1|55|20.90|4.20|L4  |     |     |     |     |     |14.68|13.70|13.05|      |12.54|12.21|11.98|    |    |    |      |          | 2006|      |
CFBDS J013302+023128       |  |                   | 1 |33|  2.3 | +02|31|28|22.00|5.00|T8.5|     |     |     |     |     |18.15|18.62|18.64|      |17.79|15.10|     | 675|    |    |      |          | 2011|      |
WISEP J013525.64+171503.4  |  |                   | 1 |35| 25.6 | +17|15| 3|23.70|    |T6  |     |     |     |     |     |     |     |     |      |17.19|14.74|12.73| 975|    |    |      |          | 2013|      |
2MASSW J0135358+120522     |  |J01353586+1205216  | 1 |35| 35.9 | +12| 5|22|28.00|2.00|L1.5|     |     |     |     |     |14.41|13.53|12.92|      |12.51|12.26|11.72|    |    |    |      |          | 2000|      |
Upsilon And c              | x|J01364784+4124200  | 1 |36| 47.8 | +41|24|20|13.49|0.03|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |15  |0.861 |    0.651 | 1999|      |
IPMS J013656.57+093347.3   |  |J01365662+0933473  | 1 |36| 56.6 | +09|33|47| 6.00|0.40|T2.5|     |     |     |     |     |13.46|12.77|12.56|      |11.97|10.96|9.67 |    |    |    |      |          | 2000|      |
WISEPC J013836.59-032221.2 |  |                   | 1 |38| 36.6 | -03|22|21|17.70|    |T3  |     |     |     |     |     |16.36|15.65|15.30|      |14.43|13.36|11.91|    |    |    |      |          | 2011|      |
2MASS J01410321+1804502    |  |J01410321+1804502  | 1 |41|  3.2 | +18| 4|50|24.00|2.00|L1  |     |     |     |     |     |13.88|13.03|12.49|      |     |     |     |2200|0.28|    |      |          | 2000|      |
2MASS J01443536-0716142    |  |J01443536-0716142  | 1 |44| 35.4 | -07|16|14|12.00|1.00|L5  |     |     |     |     |     |14.19|13.01|12.27|      |11.63|11.36|10.81|1600|0.55|    |      |          | 2002|      |
WISEP J014656.66+423410.0  |  |                   | 1 |46| 57.1 | +42|34|10|10.64|1.58|Y0  |     |     |     |     |     |19.40|20.91|     |      |18.99|15.08|13.20| 451|0.97|14  |      |          | 2012|      |
WISEPC J014807.25-720258.7 |  |                   | 1 |48|  7.3 | -72| 2|59|17.00|5.00|T9.5|     |     |     |     |     |18.96|19.22|     |      |18.81|14.58|12.86| 500|1.04|13  |      |          | 2011|      |
2MASS J01490895+2956131    |  |J01490895+2956131  | 1 |49|  9.0 | +29|56|13|22.50|0.40|M9.5|     |     |     |     |     |13.44|12.59|12.01|      |     |     |     |    |    |    |      |          | 2003|      |
WISEPA J015010.86+382724.3 |  |                   | 1 |50| 10.9 | +38|27|24|18.80|    |T0  |     |     |     |     |     |16.11|15.02|14.48|      |13.62|12.98|11.93|    |    |    |      |          | 2011|      |
ULAS J015024.37+135924.0   |  |                   | 1 |50| 24.4 | +13|59|24|23.00|    |T7.5|     |     |     |     |     |17.73|18.11|17.84|      |17.39|15.19|12.11| 775|    |    |      |          | 2010|      |
SDSS J015141.69+124429.6   |  |J01514155+1244300  | 1 |51| 41.6 | +12|44|30|21.40|1.54|T1  |     |24.31|     |22.84|     |16.57|15.60|15.18|15.21 |14.60|13.82|12.25|    |    |    |      |          | 2002|      |
SDSS J015354.23+140452.8   |  |J01535422+1404532  | 1 |53| 54.2 | +14| 4|53|31.10|5.90|L0  |     |21.76|     |19.25|     |15.21|14.48|13.96|      |     |     |     |    |    |    |      |          | 2008|      |
2MASS J01550354+0950003    |  |J01550354+0950003  | 1 |55|  3.5 | +09|50| 0|17.00|3.00|L5  |     |     |     |     |     |14.83|     |13.14|      |     |     |     |    |    |    |      |          | 1999|      |
2MASSW J0205034+125142     |  |J02050344+1251422  | 2 | 5|  3.4 | +12|51|42|22.00|2.00|L5  |     |     |     |     |     |15.68|14.45|13.67|      |12.92|12.53|11.44|    |    |    |      |          | 2000|      |
DENIS-P J020529.0-115925 A | x|J02052940-1159296  | 2 | 5| 29.4 | -11|59|30|19.76|0.59|L7  |     |     |     |     |18.30|14.59|13.57|13.00|      |12.22|11.72|10.87|    |    |52  |      |          | 1997|      |
DENIS-P J020529.0-115925 B | x|J02052940-1159296  | 2 | 5| 29.4 | -11|59|30|19.76|0.59|L7  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |52  |  9.2 |      105 | 1997|      |
DENIS-P J020529.0-115925 C | x|J02052940-1159296  | 2 | 5| 29.4 | -11|59|30|19.76|0.59|T0  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |42  |  1.3 |          | 2005| UNCON|
SDSS J020608.97+223559.2   |  |J02060880+2235593  | 2 | 6|  8.8 | +22|35|59|21.90|4.60|L5.5|     |     |     |     |     |16.56|15.54|15.16|      |     |     |     |    |    |    |      |          | 2006|      |
WISEPA J020625.26+264023.6 |  |                   | 2 | 6| 25.3 | +26|40|24|17.90|2.00|L9  |     |     |     |     |     |16.53|15.10|14.52|      |13.40|12.81|11.60|    |    |    |      |          | 2011|      |
DENIS-P J0206566-073519    |  |J02065668-0735200  | 2 | 6| 56.7 | -07|35|20|21.50|4.10|L2  |     |     |     |     |17.92|14.24|13.62|     |13.16 |     |     |     |    |    |    |      |          | 2011|      |
2MASSW J0208183+254253     |  |J02081833+2542533  | 2 | 8| 18.3 | +25|42|53|25.30|1.70|L1  |     |     |     |     |17.70|13.99|13.11|12.59|      |12.19|11.92|11.33|    |    |    |      |          | 2000|      |
2MASSW J0208236+273740     |  |J02082363+2737400  | 2 | 8| 23.6 | +27|37|40|24.00|2.00|L5  |     |     |     |     |     |15.71|14.56|13.87|      |13.27|12.96|12.07|    |    |    |      |          | 2000|      |
2MASSW J0208549+250048     |  |J02085499+2500488  | 2 | 8| 55.0 | +25| 0|49|31.00|3.00|L5  |     |     |     |     |     |16.21|14.97|14.41|      |13.66|13.25|11.42|    |    |    |      |          | 2000|      |
WISEP J021010.25+400829.6  |  |                   | 2 |10| 10.3 | +40| 8|30|27.00|  ? |T4.5|     |     |     |     |     |16.77|16.06|15.88|      |16.29|14.74|12.66|    |    |    |      |          | 2013|      |
HD 13445 B                 | x|J02102587-5049258  | 2 |10| 25.9 | -50|49|25|10.87|0.12|T   |     |     |     |     |     |14.70|14.40|14.20|13.70 |     |     |     |    |    |50  |   20 |          | 2001|      |
2MASSI J0213288+444445     |  |J02132880+4444453  | 2 |13| 28.8 | +44|44|45|18.70|1.40|L1.5|     |     |     |     |     |13.49|12.76|12.21|      |     |     |     |2200|0.51|    |      |          | 2003|      |
DENIS-P J0213371-134322    |  |J02133713-1343228  | 2 |13| 37.1 | -13|43|23|29.10|6.20|L1  |     |     |     |     |17.61|14.48|13.80|     |13.34 |     |     |     |    |    |    |      |          | 2011|      |
2MASSI J0218291-313322     |  |J02182913-3133230  | 2 |18| 29.1 | -31|33|23|26.00|2.00|L3  |     |     |     |     |     |14.73|13.81|13.15|      |12.61|12.29|12.15|    |    |    |      |          | 2003|      |
SSSPM J0219-1939           |  |J02192807-1938416  | 2 |19| 28.1 | -19|38|42|26.88|2.96|L1  |     |     |     |     |     |14.11|13.34|12.91|      |12.55|12.31|12.87|1950|1.00|    |      |          | 2002|      |
WISEPA J022105.94+384202.9 |  |                   | 2 |21|  5.9 | +38|42| 3|22.40|    |T6.5|     |     |     |     |     |17.59|17.45|16.95|      |16.72|14.62|12.69| 975|    |    |      |          | 2011|      |
WISEPC J022322.39-293258.1 |  |                   | 2 |23| 22.4 | -29|32|58|14.40|    |T7  |     |     |     |     |     |17.10|17.30|16.94|      |16.93|13.99|12.84| 825|    |    |      |          | 2011|      |
WISEPA J022623.98-021142.8 |  |                   | 2 |26| 24.0 | -02|11|43|27.90|    |T7  |     |     |     |     |     |18.94|18.84|     |      |17.64|14.54|12.86| 825|    |    |      |          | 2011|      |
DENIS-P J0227102?162446    |  |J02271036-1624479  | 2 |27| 10.4 | -16|24|48|21.00|1.00|L1  |     |     |     |     |17.04|13.57|12.63|12.14|12.18 |11.77|11.56|11.21|2100|    |    |      |          | 2000|      |
2MASSW J0228110+253738     |  |J02281101+2537380  | 2 |28| 11.0 | +25|37|38|26.00|3.00|L0  |     |     |     |     |     |13.84|12.99|12.47|      |12.12|11.89|11.39|2100|    |    |      |          | 2002|      |
2MASS J02284243+1639329    |  |J02284243+1639329  | 2 |28| 42.4 | +16|39|33|19.00|2.00|L0  |     |     |     |     |     |13.17|12.33|11.82|      |     |     |     |    |    |    |      |          | 2000|      |
2MASS J02284355-6325052    |  |J02284355-6325052  | 2 |28| 43.6 | -63|25| 5|23.00|3.00|L1  |     |     |     |     |     |13.56|12.75|12.25|      |     |     |     |    |    |    |      |          | 2000|      |
WISE J023038.90-022554.0   |  |                   | 2 |30| 38.9 | -02|25|54|25.00|2.00|L8  |     |     |     |     |     |16.68|15.72|14.93|      |14.23|13.63|11.85|    |    |    |      |          | 2013|      |
DENIS-P J0230450?095305    |  |J02304498-0953050  | 2 |30| 45.0 | -09|53| 5|30.86|3.52|L0  |     |     |     |     |18.24|14.68|13.91|13.40|12.99 |12.94|12.70|11.90|1650|1.00|    |      |          | 2010|      |
WISEP J023318.05+303030.5  |  |                   | 2 |33| 18.1 | +30|30|31|25.00|  ? |T6  |     |     |     |     |     |16.85|17.18|17.04|      |16.59|14.46|12.25|    |    |    |      |          | 2013|      |
GJ 1048 B                  | x|J02355993-2331205  | 2 |35| 59.9 | -23|31|21|21.26|0.47|L1  |     |     |     |     |     |13.67|12.73|12.19|      |     |     |     |2050|1.18|65  |  250 |          | 2001|      |
SDSSp J023617.93+004855.0  |  |J02361794+0048548  | 2 |36| 17.9 | +00|48|55|29.00|3.00|L6  |     |25.04|     |21.50|     |16.10|15.27|14.67|14.54 |13.81|13.36|12.36|    |    |    |      |          | 2002|      |
2MASSI J0239424-173547     |  |J02394245-1735471  | 2 |39| 42.5 | -17|35|47|31.15|4.56|L0  |     |     |     |     |     |14.29|13.53|13.04|      |12.71|12.43|11.83|2300|1.00|    |      |          | 2003|      |
DENIS-P J0240121?530552    |  |J02401209-5305527  | 2 |40| 12.1 | -53| 5|53|15.40|2.80|L4  |     |     |     |     |18.18|14.39|13.65|13.16|12.99 |     |     |     |    |    |    |      |          | 2010|      |
WISE J024124.73-365328.0   |  |                   | 2 |41| 24.7 | -36|53|28|16.50|    |T7  |     |     |     |     |     |     |16.98|     |      |16.89|14.34|     | 825|    |    |      |          | 2012|      |
2MASS J02431371-2453298    |  |J02431371-2453298  | 2 |43| 13.7 | -24|53|30|10.68|0.41|T6  |     |     |     |     |     |15.38|15.14|15.22|15.24 |14.68|12.93|11.29|1070|0.97|34  |      |          | 2002|      |
WISEP J024512.62-345047.8  |  |                   | 2 |45| 12.6 | -34|50|48|17.20|    |T8  |     |     |     |     |     |17.77|     |     |      |17.92|14.56|12.19| 675|    |    |      |          | 2013|      |
WISEP J024714.52+372523.5  |  |                   | 2 |47| 14.5 | +37|25|24|17.50|    |T8  |     |     |     |     |     |18.44|18.24|18.37|      |18.37|14.70|12.58| 675|    |    |      |          | 2013|      |
SDSS J024749.90-163112.6   |  |J02474978-1631132  | 2 |47| 49.8 | -16|31|13|28.00|4.00|T2  |     |     |     |     |     |17.19|16.17|15.62|      |15.20|14.20|12.68|    |    |    |      |          | 1999|      |
2MASSI J0251148-035245     |  |J02511490-0352459  | 2 |51| 14.9 | -03|52|46|12.10|1.10|L3  |     |     |     |     |     |13.06|12.25|11.66|      |     |     |     |2100|0.45|    |      |          | 2003|      |
DENIS-P J0254058-193452    |  |J02540582-1934523  | 2 |54|  5.8 | -19|34|52|21.10|3.70|M9  |     |     |     |     |16.30|13.08|12.36|     |11.91 |     |     |     |    |    |    |      |          | 2011|      |
WISEPA J025409.45+022359.1 |  |                   | 2 |54|  9.5 | +02|23|59| 6.02|0.94|T8  |     |     |     |     |     |15.91|16.29|16.01|16.73 |15.74|12.71|11.04| 800|    |    |      |          | 2011|      |
DENIS-P J025503.5-470050   |  |J02550357-4700509  | 2 |55|  3.6 | -47| 0|51| 4.97|0.10|L8  |     |     |20.06|     |17.24|13.25|12.20|11.56|12.93 |     |10.19|     |1380|0.90|65  |      |          | 1999|      |
