id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
73230,73457,132683,,Gl 571.1,,,15.012059,-11.135129,19.3424,-19.01,-480.3,14,9.49,8.057,K7V,1.372,-13.377317,-13.462048,-3.735498,-0.00000504,-0.00000254,-0.00004695,3.930147778,-0.19434466,-9.22E-08,-2.33E-06,,,Lib,1,73230,,0.052143479,,,
73243,73470,,,Gl 572,,,15.015422,45.426209,11.7938,241.12,370.51,-10,9.15,8.792,M0,1.427,-5.829123,-5.876436,8.401216,0.00002547,0.0000061,0.00000758,3.931028343,0.792836905,1.17E-06,1.80E-06,,,Boo,1,73243,,0.026497201,,,
73254,73481,,,,,,15.017096,75.261881,29.2227,-295.32,-106.7,0,9.74,7.411,K5,1.552,-5.233454,-5.280124,28.261235,-0.00004001,0.00001907,-0.00000385,3.931466518,1.313567633,-1.43E-06,-5.17E-07,,,UMi,1,73254,,0.094536605,,,
73285,73512,132950,,,,,15.024992,15.868888,30.3122,101.07,-236.95,-0.6,9.13,6.722,K2,1.043,-20.48177,-20.751564,8.288474,0.0000043,-0.00001679,-0.00003366,3.933533655,0.276964345,4.90E-07,-1.15E-06,,,Boo,1,73285,,0.178319977,,,
73318,73547,132648,,,,,15.031465,-47.007473,26.8817,-25.24,-73.13,0,7.74,5.593,G6V,0.721,-12.854566,-13.068095,-19.662422,0.00000254,0.00000728,-0.0000065,3.935228322,-0.820435168,-1.22E-07,-3.55E-07,,,Lup,1,73318,,0.504428946,,,
73403,73631,,,Gl 574,,,15.051012,-46.29382,25.3036,-299.32,-9.08,-65.2,9.87,7.854,K5V,1.188,-12.196489,-12.526544,-18.291364,0.0000064,0.0000592,0.00004743,3.940345792,-0.807979576,-1.45E-06,-4.40E-08,,,Lup,1,73403,,0.062863709,,9.937,9.807
73405,73633,132899,,,,,15.051693,-41.992559,24.57,109.91,-202.53,0,8.98,7.028,K3V,1.145,-12.736674,-13.086202,-16.438168,0.00002064,0.00000243,-0.00001793,3.940523945,-0.732908419,5.33E-07,-9.82E-07,,,Cen,1,73405,,0.134524071,,,
73467,73695,133640,5618,Gl 575A,44    Boo,,15.063174,47.65406,12.5078,-436.24,18.94,-29.7,4.83,4.344,G2V + G2V,0.647,-5.858189,-6.055134,9.244209,-0.00000419,0.00003371,-0.00002168,3.943529793,0.831720249,-2.11E-06,9.18E-08,,44,Boo,1,73467,Gl 575,1.593675881,I,4.943,4.793
73506,73734,,,NN 3890,,,15.071916,60.384586,17.854,-654.95,177.55,0,11,9.741,M:,1.5,-6.120433,-6.354988,15.521589,-0.00003157,0.00004894,0.00000759,3.945818362,1.053909843,-3.18E-06,8.61E-07,,,Dra,1,73506,,0.01105605,,11.045,10.925
73558,73786,,,Gl 576,,,15.081536,5.638097,18.5874,-606.77,-507.54,-68,9.83,8.484,K5,1.3,-12.797119,-13.355452,1.826052,0.00000529,0.00008455,-0.00005235,3.948336801,0.098403363,-2.94E-06,-2.46E-06,,,Vir,1,73558,,0.035188439,,9.888,9.788
73675,73903,,,,,,15.103985,-37.42234,28.7522,-404.99,-1082.21,0,12.79,10.497,K5,1.613,-15.700921,-16.579776,-17.472296,0.00002204,0.00010537,-0.0001198,3.954213939,-0.653143044,-1.96E-06,-5.25E-06,,,,1,73675,,0.005510614,,12.991,12.531
73713,73941,134044,5630,,,,15.109765,36.456063,29.8329,-64.31,40.36,-5,6.35,3.977,F8V,0.537,-16.472493,-17.447476,17.726867,-0.00000156,0.0000119,0.00000166,3.955727216,0.636278323,-3.12E-07,1.96E-07,,,Boo,1,73713,,2.234601058,,,
73768,73996,134083,5634,Gl 578,45    Boo,,15.121682,24.869195,19.5542,184.81,-163.51,-9.8,4.93,3.474,F5V,0.429,-12.138752,-12.937889,8.223444,0.00001454,-0.00001011,-0.00001828,3.958847061,0.434049343,8.96E-07,-7.93E-07,,45,Boo,1,73768,,3.55140335,,,
73788,74016,134066,,,,,15.125819,9.226035,31.5557,-191.42,24.72,-34.5,6.72,4.225,G5,0.68,-21.287097,-22.737767,5.059267,0.00000284,0.00004588,-0.00000192,3.959930155,0.161024687,-9.28E-07,1.20E-07,,,Boo,1,73788,,1.77827941,,,
73817,74045,135363,,,,,15.132363,76.200745,28.7936,-131.87,169.32,-1,8.72,6.424,G5,0.952,-4.685242,-5.02157,27.962533,0.00000237,0.00002952,0.00000464,3.961643467,1.329953893,-6.39E-07,8.21E-07,,,UMi,1,73817,,0.234638892,,,
73962,74190,,,NN 3892,,,15.159887,3.166823,14.453,-601.06,482.52,0,11.46,10.66,M:,1.511,-9.768264,-10.622276,0.798432,-0.00002974,0.00002988,0.00003376,3.968849129,0.055271482,-2.91E-06,2.34E-06,,,Vir,1,73962,,0.00474242,,11.537,11.367
74006,74234,134440,,Gl 579.2B,,,15.170276,-16.462922,28.4576,-1001.47,-3542.66,308,9.44,7.169,K0V:,0.85,-18.420289,-20.140316,-8.065516,-0.0002124,-0.00002754,-0.00055793,3.971568908,-0.287332194,-4.86E-06,-1.72E-05,,,Lib,2,74007,Gl 579.2,0.118140825,,,
74007,74235,134439,,Gl 579.2A,,,15.170309,-16.379405,28.86,-998.86,-3542.91,294.3,9.07,6.769,K0/K1V,0.77,-18.688503,-20.43393,-8.139165,-0.00020373,-0.0000157,-0.00056041,3.971577556,-0.285874541,-4.84E-06,-1.72E-05,,,Lib,1,74007,Gl 579.2,0.170765447,,,
74033,74261,,,,,,15.176605,-42.976987,24.2365,-324.71,-291.36,0,10.63,8.708,M0,1.406,-11.945638,-13.104533,-16.522132,-0.00001247,0.00004295,-0.00002505,3.973225841,-0.750089931,-1.57E-06,-1.41E-06,,,Lup,1,74033,,0.028628593,,10.685,10.575
74041,74268,134331,,,,,15.178225,-43.72987,30.4414,12.26,-98.66,-3.8,7.01,4.593,G5V,0.619,-14.811908,-16.262888,-21.042876,0.00001001,0.0000083,-0.00000783,3.973649886,-0.76323022,5.94E-08,-4.78E-07,,,Lup,1,74041,,1.267068225,,,
74043,74271,134330,,,,,15.17867,-43.716915,31.0655,12.35,-104.56,-4.2,7.6,5.139,K0IV-V,0.72,-15.116909,-16.601657,-21.469211,0.00001079,0.00000909,-0.00000841,3.973766569,-0.763004099,5.99E-08,-5.07E-07,,,Lup,1,74043,,0.766302072,,,
74045,74273,134060,5632,,,,15.179128,-61.42232,24.2014,-184.95,-11.27,38,6.29,4.371,G3IV,0.623,-7.793424,-8.560788,-21.253227,-0.00002778,0.00000172,-0.00003476,3.973886465,-1.072021718,-8.97E-07,-5.46E-08,,,Cir,1,74045,,1.554533194,,,
74168,74396,135144,,,,,15.204931,39.655783,30.0571,97.68,-153.57,0,8.58,6.19,G5,0.86,-15.461936,-17.216907,19.181655,0.00000105,-0.00002013,-0.00001723,3.980641646,0.692123978,4.74E-07,-7.45E-07,,,Boo,1,74168,,0.291071712,,,
74205,74432,135101,5659,NN 3896A,,,15.212084,19.286028,27.2405,-595.31,288.53,-37.8,6.69,4.514,G5V,0.68,-17.143838,-19.161662,8.996996,-0.00002587,0.00008899,0.0000232,3.982514217,0.33660468,-2.89E-06,1.40E-06,,,Ser,1,74205,NN 3896,1.362699197,,6.792,6.532
74272,74500,134987,5657,Gl 579.4,23    Lib,,15.224637,-25.309347,26.2055,-399.01,-75.1,5.5,6.47,4.378,G5V,0.691,-15.737957,-17.707061,-11.203013,-0.00003856,0.00003292,-0.00001103,3.985800578,-0.441731435,-1.93E-06,-3.64E-07,,23,Lib,1,74272,,1.544542987,,,
74309,74537,135204,,Gl 580A,,,15.230804,-1.351387,17.671,-1269.65,-503.15,-69.2,6.58,5.344,K0V,0.763,-11.71425,-13.222898,-0.416737,-0.00003383,0.00012584,-0.00004142,3.987415205,-0.023586159,-6.16E-06,-2.44E-06,,,Ser,1,74309,Gl 580,0.634453796,,,
74327,74555,,,GJ 1190,,,15.233235,-3.798002,26.9978,-735.99,149.76,-110.3,9.84,7.683,K4V,1.117,-17.849865,-20.174548,-1.788244,0.00000158,0.00014716,0.00002703,3.98805148,-0.066287636,-3.57E-06,7.26E-07,,,Lib,1,74327,,0.073586814,,,
74377,74605,136064,5691,Gl 580.2,,,15.243926,67.346722,25.3421,221.51,-392.3,-48.1,5.15,3.131,F9IV,0.55,-6.447054,-7.328138,23.386622,0.00000357,-0.00003714,-0.00006396,3.990850422,1.175422046,1.07E-06,-1.90E-06,,,UMi,1,74377,,4.870796665,,,
74425,74653,134606,,,,,15.254237,-70.519625,26.4971,-177.88,-165.01,0,6.86,4.744,G5IV,0.74,-5.818943,-6.649896,-24.980294,-0.00000404,0.00003008,-0.00000707,3.993549821,-1.230799638,-8.62E-07,-8.00E-07,,,Aps,1,74425,,1.102554332,,,
74474,74702,135599,,,,,15.266435,0.796362,15.8453,178.02,-136.52,0,6.92,5.92,K0,0.83,-10.395173,-11.956814,0.220229,0.00001022,-0.00000908,-0.00001049,3.996743386,0.013899146,8.63E-07,-6.62E-07,,,Ser,1,74474,,0.373250158,V379,6.937,6.907
74586,74815,,,,,,15.289219,-27.997154,29.4291,-64.34,5.83,0,11.08,8.736,,1.366,-16.93164,-19.711464,-13.814835,-0.00000722,0.00000568,0.00000073,4.002708302,-0.488642516,-3.12E-07,2.83E-08,,,Lib,1,74586,,0.02789973,,11.179,10.999
74595,74824,135379,5670,Gl 580.1,Bet Cir,,15.291917,-58.801208,30.553,-98.39,-135.46,9.6,4.07,1.645,A3V,0.088,-10.304156,-12.012956,-26.134351,-0.0000032,0.00001865,-0.00001879,4.003414621,-1.026274683,-4.77E-07,-6.57E-07,Bet,,Cir,1,74595,,19.14255925,,,
74697,74926,,,Wo 9518,,,15.310981,-18.626586,25.0878,447.76,-354.74,0,10.35,8.353,,1.214,-15.387736,-18.121998,-8.01302,0.00005043,-0.00002474,-0.00004088,4.008405462,-0.325095257,2.17E-06,-1.72E-06,,,Lib,1,74697,,0.039700868,,,
74746,74975,136202,5694,,5    Ser,,15.321888,1.765408,25.3807,373.24,-513.64,54,5.04,3.017,F8III-IV,0.54,-16.365124,-19.384937,0.781926,-0.00000178,-0.00007329,-0.00006146,4.011260953,0.030812176,1.81E-06,-2.49E-06,,5,Ser,1,74746,,5.410034069,MQ,5.05,5.03
74752,74981,,,,,,15.322546,29.206173,26.3019,-142.82,394.91,0,10.25,8.15,K7,1.26,-14.806825,-17.545185,12.83411,0.00000193,0.00003052,0.00004395,4.011433052,0.509743885,-6.92E-07,1.91E-06,,,CrB,1,74752,,0.047863009,,10.334,10.184
74766,74995,,,Gl 581,,,15.32412,-7.72228,6.2147,-1224.55,-99.52,-9.4,10.57,11.603,M5,1.6,-3.96982,-4.707934,-0.835068,-0.0000218,0.00003137,-0.00000168,4.011845195,-0.134779215,-5.94E-06,-4.82E-07,,,Lib,1,74766,,0.001989757,HO,10.595,10.485
74861,75090,,,,,,15.344157,15.380277,30.6937,-460.14,-196.84,0,8.8,6.365,K2,0.948,-18.958654,-22.724468,8.140713,-0.00005755,0.00003789,-0.00002824,4.01709082,0.268436467,-2.23E-06,-9.54E-07,,,Ser,1,74861,,0.247742206,,,
74952,75181,136352,5699,Gl 582,Nu 2Lup,,15.363507,-48.317628,14.8126,-1622.71,-275.1,-69.4,5.65,4.797,G2V,0.639,-6.271902,-7.595081,-11.06222,-0.00005041,0.00012196,0.00003987,4.02215684,-0.84330169,-7.87E-06,-1.33E-06,Nu-2,,Lup,1,74952,,1.050025872,,,
74958,75187,,,Wo 9520,,,15.364702,20.977756,11.4116,78.47,129.36,0,10.66,10.373,M9,2.1,-6.781787,-8.218354,4.085415,0.00000498,-0.00000079,0.00000668,4.022469571,0.366130917,3.80E-07,6.27E-07,,,Ser,1,74958,,0.006177319,OT,10.728,10.598
74972,75201,,,Gl 583,,,15.367806,-4.777454,18.8964,-294.73,-12.83,-17.8,9.46,8.078,K7V,1.31,-11.973394,-14.533718,-1.573787,-0.00000924,0.00003124,0.00000034,4.023282245,-0.083382307,-1.43E-06,-6.22E-08,,,Lib,1,74972,,0.051144625,,,
