,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pra,pdec,rv,ag,absag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,prarad,pdecrad,bayer,fla,con,comp,comp_primary,base,lu,var,var_in,var_ax,mass,mass_t,temperature,radius,radius_t,period,period_t,semiMajorAxis,semiMajorAxis_t,eccentricity,eccentricity_t
697,29495,29568,43162,2225,GJ 3389,,,6.22925,-23.861938,16.7224,-47.06,110.9,22.4,6.37,5.254,G6.5V,0.713,-0.917305,15.265666,-6.764863,2.33E-06,2.48E-05,-1.05E-06,1.630813713,-0.416469382,-2.28E-07,5.38E-07,,,CMa,1,29495,,0.689286861,V352,6.397,6.347,1.0076,0.124077,5617,0.941803,0.0781755,,,,,,
435,17304,17346,,,Gl 149A,,,3.71241,-24.466325,26.3366,24.29,-373.78,20.7,9.2,7.097,K4.5V,1.128,13.513559,19.799855,-10.9076,-2.84E-06,1.34E-06,-5.22E-05,0.971906573,-0.427017924,1.18E-07,-1.81E-06,,,For,1,17304,Gl 149,0.126240876,,,,,,,,,,,,,,
3330,119188,,,,GJ 1222,,,17.905014,7.377505,16.7224,-581.12,-312.9,-20,13.11,11.994,M4V,1.55,-0.412349,-16.577825,2.147129,-4.67E-05,1.82E-05,-2.78E-05,4.687521747,0.128761744,-2.82E-06,-1.52E-06,GJ 1222,,,1,119188,,0.001388034,,,,,,,,,,,,,,
3331,119612,,,,NN 4385,,,23.996567,47.762093,16.7224,864.68,-210.78,0,16.1,14.984,M5.0V,1.87,11.240971,-0.008954,12.380596,1.27E-05,7.01E-05,-1.15E-05,6.282286595,0.833605784,4.19E-06,-1.02E-06,GJ 4385,,,1,119612,,8.84E-05,,,,,,,,,,,,,,
1471,65315,65520,,,Gl 510,,,13.430245,-28.373989,16.7448,-451.52,-105.12,-14,11.04,9.921,M1,1.522,-13.712258,-5.388558,-7.957485,2.09E-06,4.02E-05,-7.00E-07,3.516029958,-0.495219529,-2.19E-06,-5.10E-07,,,Hya,1,65315,,0.009366989,,11.109,10.969,0.506,0.004,3672,0.453,0.014,,,,,,
438,17363,17405,,,Gl 150.1A,,,3.729235,16.667261,16.6889,158.99,-313.21,36.1,10.83,9.718,M0V,1.47,8.954618,13.245097,4.786689,1.32E-05,4.25E-05,-1.37E-05,0.976311361,0.290898576,7.71E-07,-1.52E-06,,,Tau,1,17363,Gl 150.1,0.011292757,,10.908,10.758,0.578,0.003,3695,0.522,0.015,,,,,,
900,39046,39157,65583,,Gl 295,,,8.008929,29.212356,16.7673,-171.15,-1164.24,14.7,6.97,5.848,K0V,0.716,-7.347041,12.657061,8.183309,-1.77E-05,5.83E-05,-7.53E-05,2.096732643,0.50985179,-8.30E-07,-5.64E-06,,,Ge,1,39046,,0.398841187,,,,0.939614,0.119542,5238,0.885345,0.0743809,,,,,,
1820,80772,81018,,,GJ 1203,,,16.545889,12.612768,16.7701,-766.82,-139.2,0,12.13,11.007,M3.0V,1.47,-6.080691,-15.193805,3.661931,-5.88E-05,2.09E-05,-1.10E-05,4.331703683,0.220134338,-3.72E-06,-6.75E-07,,,,1,80772,,0.003445085,,12.243,11.963,,,,,,,,,,,
3332,119114,,,,Gl 645,,,16.945937,-37.064171,16.7785,-142.15,-437.49,0,11.44,10.316,M1,1.51,-3.648022,-12.882012,-10.112555,-5.28E-06,2.38E-05,-2.84E-05,4.436435865,-0.646891813,-6.89E-07,-2.12E-06,Gl 645,,Sco,1,119114,,0.006510285,,,,,,,,,,,,,,
21,744,746,432,21,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III,0.38,8.600014,0.344589,14.409503,1.68E-05,4.33E-05,2.39E-06,0.040025853,1.032358404,2.54E-06,-8.75E-07,Bet,11,Cas,1,744,,30.06076303,Bet,2.303,2.263,1.64056,0.377599,6810,4.12514,0.479619,,,,,,
